num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_spots,section_summary
20,8,第三冊,5,熱學,4,熱對物質的影響,物理變化、化學變化、熱脹冷縮、水的特殊現象,物體吸熱或放熱可能引起物理變化（體積膨脹、三態變化）或化學變化（燃燒、生食變成熟）。熱脹冷縮規律為氣體 > 液體 > 固體，但水在4°C時密度最大、升降溫皆膨脹，應用於鐵軌預留伸縮縫。物體受熱後體積大多膨脹，稱為熱脹冷縮，少數如青銅是熱縮冷脹。氣體熱脹程度最大，其次為液體，再來是固體。溫度計、鐵軌、橋梁伸縮縫等都利用熱脹冷縮原理。狀態改變則受溫度與壓力影響，樟腦、碘、乾冰能昇華。冰鹽混合可製冷至-21.2°C。熔化與汽化皆需吸熱，但溫度維持不變。酸鹼稀釋與中和皆為放熱反應。汽化包括蒸發與沸騰，蒸發發生於表面，沸騰發生於整體，並產生大量氣泡。蠟燭燃燒先經物理變化吸熱，後發生化學變化放熱。
21,8,第三冊,6,元素與原子,1,元素與化合物,純物質、元素、化合物、混合物,元素 定義：無法以普通化學方法再分解為更簡單的物質。例子：金、銅、白金、水銀、氫氣、氧氣、氬氣。化合物 定義：由兩種或兩種以上元素，以固定比例化合而成。例子：水、冰糖、食鹽、酒精、二氧化碳、葡萄糖。混合物 兩種以上純物質任意比例混合，沒有一定的性質，但各成分仍保有原物質特性。例：空氣、酒、糖水、食鹽水、不鏽鋼。。分離方法：溶解、過濾、蒸發結晶、蒸餾、分餾。分離原理：溶解度差異、顆粒大小差異、沸點差異。純物質與混合物的比較 純物質：有固定熔點、沸點。混合物：沒有一定的性質。
22,8,第三冊,6,元素與原子,2,認識元素,元素的命名、常見金屬元素、常見非金屬元素、常見氣體,金屬元素：大多數為銀灰色，導電、導熱性佳，有延展性，金：金色，活性小，常用於飾品、導線、抗腐蝕。銀：導電導熱性最強，應用於飾品、餐具、鏡面塗層。銅：紅棕色，導電性次於銀，製作電線、合金（黃銅、青銅）。鐵：含碳量影響特性，生鐵＞鋼＞熟鐵，廣泛用於建築與機械。鋁：密度小，抗氧化，常用於鋁合金、筆電外殼。鎢：熔點最高，作為燈絲。非金屬元素：電與熱的不良導體，無延展性，多為氣體或固體，矽：地殼中含量第二高，應用於玻璃、半導體。磷：白磷易燃，紅磷用於火柴與煙火。碳：鑽石、石墨。
23,8,第三冊,6,元素與原子,3,物質結構與原子,原子結構、質子、中子、電子,原子基本結構：原子由帶正電的質子、不帶電的中子、帶負電的電子組成。質量數 = 質子數 + 中子數。原子序：原子序等於質子數，決定元素的化學性質。電中性原子的質子數 = 電子數。電子排列：電子受到原子核吸引，在軌域中運動。原子質量大多集中於原子核，佔99.99%。質子數相同但中子數不同的稱為同位素。
24,8,第三冊,6,元素與原子,4,週期表,元素分類、族與週期、原子序,週期表按照原子序遞增排列，元素性質呈現規律性，具週期性。具有相似性質的元素排列在同一族，形成同族元素，化學性質相近。同族元素分類與性質：鹼金族（第1族）：如鈉（Na）、鉀（K），與水劇烈反應產生氫氣，具高活性，需儲存於礦物油中。鹼土族（第2族）：如鈣（Ca）、鎂（Mg）、鋇（Ba），與硫酸或碳酸反應產生白色沉澱，氧化物溶於水呈鹼性。鹵素（第17族）：如氟（F）、氯（Cl）、溴（Br）、碘（I），多具毒性，氟為氣態，溴為液態，碘為固態。惰性氣體（第18族）：如氦（He）、氖（Ne）、氬（Ar），化學性質穩定，以單原子形式存在，常用於燈泡與填充氣體。重點背誦原子序1~20的原子英文符號。以及常見離子價數。
25,8,第三冊,6,元素與原子,5,分子與化學式,分子種類、化學式、實驗式、示性式、結構式,分子種類：單原子分子：如惰性氣體(He、Ne)。雙原子分子：如氧氣(O₂)、氫氣(H₂)。多原子分子：如水(H₂O)、臭氧(O₃)。化學式表示方式：化學式是一種表示物質組成的方法，分為以下幾種：分子式 ：完整顯示分子內各元素的原子數，例如水 (H₂O) 由兩個氫原子與一個氧原子組成，二氧化碳 (CO₂) 由一個碳原子與兩個氧原子組成。實驗式 ：表示分子內各元素的最簡整數比，例如葡萄糖的分子式為 C₆H₁₂O₆，但其實驗式為 CH₂O，因為碳、氫、氧的比例可簡化為 1:2:1。示性式 ：強調分子的官能基與結構特徵，例如醋酸 (C₂H₄O₂) 可寫為 CH₃COOH。結構式：顯示分子內原子的排列方式與鍵結情況，例如水的結構式可寫為 H—O—H。
26,8,第四冊,1,化學反應,1,常見的化學反應,化學反應、常見反應,1. 化學反應是原子重新排列組成新物質的過程。2. 化學反應常伴隨氣體產生、沉澱物產生、顏色改變等容易觀察到的現象。3. 化學反應的能量變化有吸熱、放熱、放光等現象。物理變化僅改變物質狀態，如熔化、蒸發、溶解，本質不變。化學變化則改變分子結構，形成新物質。石灰水遇二氧化碳生成白色碳酸鈣沉澱。碳酸氫鈉加熱分解為碳酸鈉、二氧化碳與水，產生氣體可使石灰水混濁。大理石加稀鹽酸產生二氧化碳氣泡。放熱反應如硫酸與氫氧化鈉反應、鎂帶燃燒、凝結、暖暖包等；吸熱反應如水蒸發、光合作用、酒精揮發、鹽類溶解與冰熔化，皆會降低周圍溫度。
27,8,第四冊,1,化學反應,2,質量守恆定律,質量守恆定律,質量守恆定律由拉瓦節提出，指出化學反應前後總質量不變。實驗以氯化鈣與碳酸鈉反應產生白色碳酸鈣沉澱，總質量相等，驗證此定律。化學反應僅使原子重新排列，粒子種類與質量不變。密閉容器內總質量不變，若氣體逸散則質量減少，如大理石與稀鹽酸反應。此定律適用所有化學反應，證明物質不會憑空消失或無中生有。不論實驗質量是否減少，任何反應都符合質量守恆定律。總質量計算：A + B → C + D，若已知A、B、C質量，可求D = A + B - C。鋼絲絨生銹，因吸收氧氣導致質量增加。
28,8,第四冊,1,化學反應,3,反應式與化學計量,原子量、分子量、莫耳、計量,原子與分子質量極小，難以直接測量，於是採用相對質量比較，稱為原子量，以碳-12為基準（C=12）。原子量無單位，可比較不同原子質量，如氮（14）比氫（1）重14倍。莫耳（mol）概念應用於原子與分子，1莫耳即6.02 × 10²³個粒子，1莫耳的質量等於該物質的原子量或分子量（單位g/mol）。例如：C（12 g/mol）：1莫耳碳 = 12 g。分子量為化合物中所有原子量總和，例如：O₂：16 × 2 = 32 g/molH₂O：1 × 2 + 16 = 18 g/mol。莫耳計算應用：1莫耳H₂O = 18 g，即含 6.02 × 10²³個H₂O分子。54 g H₂O含H原子：3 × 2 mol = 6 mol H，O原子：3 × 1 mol = 3 mol O。莫耳數  *分子量 ＝ 質量 (g)。化學反應式顯示反應物與生成物的分子數、莫耳數與質量關係。例如：2Mg + O₂ → 2MgO可知：2莫耳Mg（48g）與1莫耳O₂（32g）完全反應，生成2莫耳MgO（80g）。計算步驟：列出平衡化學方程式。確定莫耳數比例（係數比=莫耳數比）。計算已知物質的莫耳數：莫耳數=質量÷分子量。依比例求未知物質的莫耳數
29,8,第四冊,2,氧化還原反應,1,氧化反應與活性,氧化反應、氧化物、物質燃燒,1. 氧化反應：物質與氧結合產生氧化物。2. 燃燒是劇烈的氧化。3. 氧化必定放熱。4.金屬氧化物溶於水呈鹼性，非金屬氧化物溶於水呈酸性。5. 鎂燃燒會放出強烈白光。6.金屬活性：金屬的氧化難易程度。7. 活性大的金屬 (IA族) 活性太大須儲存在礦物油中。8. 鋅、鋁金屬氧化後會形成緻密層，保護裡層金屬再被氧化。鋅（Zn）：黃綠火焰。形成黑色CuO。
30,8,第四冊,2,氧化還原反應,2,氧化與還原,還原反應、金屬活性、氧化還原,1. 還原反應：氧化物失去氧的過程。2. 氧化與還原反應必定相伴發生。3. 常見元素對氧活性表4. 活性越大的金屬，其氧化後的氧化物活性越小。活性小的元素形成的氧化物較不安定，易還原。氧化還原反應中，活性大的元素取代活性小的元素，如 Mg + CuO → Cu + MgO，Mg 被氧化，CuO 被還原。氧化劑被還原，還原劑被氧化。例如鎂在 CO₂ 中燃燒，產生白色 MgO 和黑色碳粒子。
31,8,第四冊,2,氧化還原反應,3,生活中的氧化還原,氧化還原的應用、煉鐵,氧化還原廣泛應用於日常生活，如燃燒、呼吸、鐵生鏽、光合作用等。氧化劑包含氧氣、雙氧水、硝酸等，還原劑如氫氣、碳、一氧化碳，抗氧化劑可減緩氧化作用，如維生素 C、E。漂白劑（如次氯酸）和二氧化硫用於消毒與漂白，但過量使用可能有害健康。煉鐵使用鐵礦（Fe₂O₃）、煤焦（C）、灰石（CaCO₃），透過高爐還原反應產生鐵（Fe）與熔渣（CaSiO₃），防止鐵氧化並可作為水泥原料。鐵分為生鐵（碳含量高，質脆）、熟鐵（碳含量低，質軟）、鋼鐵（碳含量適中，具延展性），依用途選用不同種類的鐵製品。
32,8,第四冊,3,電解質與酸鹼鹽,1,電解質,電解質、離子、解離說、莫耳濃度,電解質是溶於水後能導電並發生化學反應的化合物，包括酸（HCl、CH₃COOH）、鹼（NaOH、Ca(OH)₂）、鹽（NaCl、CuSO₄）。導電是因溶液中帶電離子移動，如H⁺向負極移動生成氫氣，陰離子則向正極移動生成氧氣。非電解質如酒精、葡萄糖，因不解離成離子，無法導電。實驗證實H₂SO₄、NaOH、KNO₃、CuSO₄為電解質，而酒精、蔗糖、澱粉則為非電解質。導電時，陽離子在負極析出，陰離子在正極析出。實驗前需用蒸餾水沖洗電極，避免污染影響結果。陽離子由原子失去電子形成，如Na⁺、K⁺，陰離子則由原子獲得電子形成，如Cl⁻、SO₄²⁻。離子顏色如Cu²⁺為藍色，MnO₄⁻為紫紅色，Cr₂O₇²⁻為橘紅色。電解質在水中解離為陽離子和陰離子，溶液保持電中性，如H₂SO₄ → 2H⁺ + SO₄²⁻。莫耳濃度 (M) 定義為每 1 公升溶液中含溶質的莫耳數，計算公式為 M = 溶質莫耳數 ÷ 溶液體積 (L)。稀釋公式：M₁L₁ = M₂L₂，溶質莫耳數不變。混合不同濃度溶液：總濃度 M = (M₁L₁ + M₂L₂) ÷ (L₁ + L₂)。重量百分濃度換算：先求溶質重量，再換算莫耳數，最後除以溶液體積求 M。
33,8,第四冊,3,電解質與酸鹼鹽,2,酸和鹼,酸、鹼、常見酸鹼,酸是溶於水能釋放 H⁺ 的物質，如鹽酸 (HCl)、硝酸 (HNO₃)，而鹼則是能釋放 OH⁻ 的物質，如氫氧化鈉 (NaOH)。酸能導電，遇金屬產生氫氣，與碳酸鈣反應產生二氧化碳，稀釋時放熱。硫酸 (H₂SO₄) 具脫水性、腐蝕性，是化學工業的重要酸。強酸 (如 HCl、H₂SO₄) 完全解離，導電性強；弱酸 (如醋酸 CH₃COOH) 部分解離，導電性弱。強鹼 (如 NaOH、KOH) 容易釋放 OH⁻，弱鹼 (如 NH₃、Al(OH)₃) 則不易解離。NaOH 為強鹼，能潮解並吸收 CO₂ 形成 Na₂CO₃，常用於製造肥皂、人造纖維。氨水 (NH₄OH) 溶解大量氨氣，為弱鹼，可製肥料 (如硫酸銨 (NH₄)₂SO₄)、尿素 (NH₂)₂CO，並用於清潔劑與塑膠製造。
34,8,第四冊,3,電解質與酸鹼鹽,3,酸鹼程度的表示,pH 值、酸鹼判斷、影響 pH 值的因素,pH 值由溶液中 [H⁺] 濃度決定，25°C 時，[H⁺] × [OH⁻] = 10⁻¹⁴ M²。溶液的酸鹼性判斷：中性溶液： [H⁺] = [OH⁻] = 10⁻⁷ M，pH = 7。酸性溶液： [H⁺] > 10⁻⁷ M，pH < 7。鹼性溶液： [H⁺] < 10⁻⁷ M，pH > 7。影響 pH 值的因素：加入酸：增加 [H⁺]，降低 pH 值。加入鹼：增加 [OH⁻]，提高 pH 值。稀釋溶液：酸性溶液 pH 上升，鹼性溶液 pH 下降。指示劑變色範圍：石蕊試紙：酸 → 紅，鹼 → 藍。酚酞溶液：酸 → 無色，鹼 → 紅範例計算：若 [H⁺] = 10⁻⁶ M，則 [OH⁻] = 10⁻⁸ M，溶液呈酸性，pH = 6。
35,8,第四冊,3,電解質與酸鹼鹽,4,酸鹼中和反應,鹽的生成、鹽的酸鹼、常見鹽類、酸鹼中和計算,1. 鹽的生成方式：酸 + 鹼 → 鹽 + 水。例：NaOH + HCl → NaCl + H₂O。活性金屬 + 稀酸 → 鹽 + 氫氣：例：Mg + 2HCl → MgCl₂ + H₂。2. 鹽類的酸鹼性。強酸 + 強鹼 → 中性鹽 (如 NaCl、KNO₃)。強酸 + 弱鹼 → 酸性鹽 (如 CuSO₄、AgNO₃)。弱酸 + 強鹼 → 鹼性鹽 (如 Na₂CO₃、CH₃COONa)3. 常見鹽類：氯化鈉 (NaCl)：海水蒸發製得，可用於食鹽、電解產生氯氣、氫氣和 NaOH。碳酸鈣 (CaCO₃)：灰石、大理石主要成分，加熱可分解成氧化鈣和二氧化碳。碳酸鈉 (Na₂CO₃) 與碳酸氫鈉 (NaHCO₃)：前者為強鹼性，後者為弱鹼性，常用於清潔、焙粉。4. 酸鹼中和計算公式：H⁺ 莫耳數 = OH⁻ 莫耳數。M₁ × V₁ = M₂ × V₂。範例計算：0.2 M 鹽酸 20 mL，需 0.5 M NaOH 幾 mL？(0.2 × 20) = (0.5 × X) → X = 8 mL5. pH 與酸鹼中和。pH = 1 的 H₂SO₄ (40 mL)，需 pH = 12 的 Ba(OH)₂ 幾 mL？0.1 × 40 = 0.01 × X → X = 400 mL
36,8,第四冊,4,反應速率與平衡,1,反應速率,反應速率定義、影響反應速率的因素、催化劑,反應速率定義：化學反應的快慢程度。反應速率 = 反應物消耗量或生成物生成量 ÷ 時間 (單位：t⁻¹)。影響反應速率的因素。物質本性：活性大的物質反應快，活性小的反應慢。例：鈉與氧反應劇烈，鐵氧化則較慢。接觸面積：總表面積越大，反應越快。例：木材削成細條比整塊木頭更易燃燒。濃度：反應物濃度越高，反應速率越快。例：純氧助燃比空氣中的氧更劇烈。溫度：溫度越高，反應越快 (正向非正比關係)。例：食物放冰箱較不易腐敗。催化劑：改變反應速率但本身質量與性質不變。不改變總產量、平衡係數與平衡狀態。生物體內的酵素為生物催化劑，工業上則用特定催化劑。催化劑具選擇性和專一性。例：二氧化錳催化雙氧水分解、哈柏法製氨用鐵粉催化。
37,8,第四冊,4,反應速率與平衡,2,可逆反應與平衡,可逆反應、動態平衡、影響平衡的因素,可逆反應是指正反應與逆反應同時存在的反應，當正反應速率等於逆反應速率時，系統達到動態平衡，表面上濃度不變，但反應仍持續進行。平衡只能存在於密閉系統，且受濃度、溫度、壓力影響。濃度增加，平衡往減少該物質的方向移動；溫度升高有利於吸熱反應，降低則有利於放熱反應；壓力升高，平衡往氣體體積較小方向移動。催化劑可加快反應速率，但不改變平衡位置。例如鉻酸鉀與二鉻酸鉀的平衡，酸性環境下平衡右移，顏色由黃變橘；鹼性環境則左移，顏色由橘變黃。
38,8,第四冊,5,有機化合物,1,認識有機化合物,有機化合物定義、有機化合物的種類、天然氣與液化石油氣,有機化合物是含碳的化合物，常見類型包括烴類、醇類、酸類、酯類、醣類等，和碳酸鹽、碳氧化物、氰化物這些無機含碳化合物不同。有機化合物的結構多變，可能是鏈狀、環狀或網狀，且種類遠多於無機化合物。燃燒後產生CO2代表含碳，產生H2O代表含氫。天然氣主要成分為甲烷，液化石油氣則以丙烷和丁烷為主。兩者燃燒皆產生CO2和H2O。有機化合物多數來源於化石燃料，如石油、煤與天然氣，透過分解或分離取得，再進行化學合成，形成日常生活中各種塑膠、清潔劑、藥品等有機產品。
39,8,第四冊,5,有機化合物,2,常見的有機化合物,同分異構物、烴類、醇類、有機酸、酯類,有機化合物是含碳的化合物，性質受原子種類、數目與排列方式影響。有機化合物可分為烴類、醇類、酸類、酯類等。同分異構物是分子式相同但結構不同的化合物，如甲醚和乙醇。烴類是只含碳、氫的有機物，分為鏈狀與環狀，依飽和程度又分為烷、烯、炔。烴類不溶於水，燃燒產生CO2和H2O，不完全燃燒則生成CO，可能導致中毒。醇類通式CnH2n+1OH，如甲醇、乙醇，具溶水性，乙醇可發酵製得並具殺菌效果。有機酸通式CnH2n+1COOH，如甲酸、乙酸，呈弱酸性，易溶於水。酯類由有機酸與醇在濃硫酸催化下形成，「A酸+B醇->A酸B酯」，具水果香味，常作香料及調味劑，天然脂肪則是脂肪酸甘油酯的混合物。植物油高溫加熱易產生反式脂肪，危害健康。
40,8,第四冊,5,有機化合物,3,聚合物與衣料纖維,聚合物、聚合物種類、衣料纖維,聚合物是由許多小單元（單體）連接形成的巨大分子，又稱高分子化合物。依來源分為天然聚合物和合成聚合物。天然聚合物如澱粉、纖維素、蛋白質和天然橡膠；合成聚合物則包括合成纖維（如尼龍）、合成橡膠、合成塑膠（如PE、PVC、PS）。聚合物依結構分為鏈狀聚合物（熱塑性）與網狀聚合物（熱固性）。鏈狀聚合物加熱會熔化，冷卻後硬化，可回收，如寶特瓶、保麗龍。網狀聚合物為立體結構，高溫不易變形，無法回收，如輪胎、電路板等。衣料纖維分為天然與人造兩類。天然纖維包括植物纖維（麻、棉）與動物纖維（羊毛、蠶絲），燃燒時分別有紙張與羽毛氣味。人造纖維分為再生纖維（醋酸纖維、螺縈）與合成纖維（耐綸），再生纖維吸水佳，合成纖維易洗快乾，但吸水性差。
