關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
66,8,第三冊,1,中國的自然環境與傳統維生方式,0,章節總複習,章節所有知識點,中國的自然環境與傳統維生方式 （全）-1,875.0
67,8,第三冊,1,中國的自然環境與傳統維生方式,0,章節總複習,章節所有知識點,中國的自然環境與傳統維生方式 （全）-2,876.0
68,8,第三冊,2,中國的人口成長與文化遷移,1,中國如何養活眾多的人口？,人口壓力、土地資源優化利用,中國如何養活眾多的人口？,877.0
69,8,第三冊,2,中國的人口成長與文化遷移,2,中國的人口有哪些特徵？,人口數量大、人口密度差異,中國的人口有哪些特徵？,878.0
70,8,第三冊,2,中國的人口成長與文化遷移,3,中國如何因應人口大量增加的壓力？,人口政策、都市化發展,中國如何因應人口大量增加的壓力？,879.0
71,8,第四冊,2,中國的人口成長與文化遷移,1,中國如何養活眾多的人口？,糧食生產技術的改進、生態環境的管控,中國如何養活眾多的人口？,880.0
72,8,第四冊,2,中國的人口成長與文化遷移,2,中國的人口有哪些特徵？,人口分布特徵、人口結構變化,中國的人口有哪些特徵？,881.0
73,8,第四冊,2,中國的人口成長與文化遷移,3,中國如何因應人口大量增加的壓力？,人口政策、城鎮化,中國如何因應人口大量增加的壓力？,882.0
74,8,第三冊,2,中國的人口成長與文化遷移,0,章節總複習,章節所有知識點,中國的人口成長與文化遷移 （全）-1,883.0
75,8,第三冊,2,中國的人口成長與文化遷移,0,章節總複習,章節所有知識點,中國的人口成長與文化遷移 （全）-2,884.0
76,8,第三冊,3,中國的工業發展與地區差異,1,中國工業發展的條件為何？,地理條件、資源分佈,中國工業發展的條件為何？,885.0
77,8,第三冊,3,中國的工業發展與地區差異,2,中國的經濟核心在哪裡？,長江三角洲、珠江三角洲,中國的經濟核心在哪裡？,886.0
78,8,第四冊,3,中國的工業發展與地區差異,1,中國工業發展的條件為何？,工業資源分佈、技術創新,中國工業發展的條件為何？,887.0
79,8,第四冊,3,中國的工業發展與地區差異,2,中國的經濟核心在哪裡？,地理區位、工業分布,中國的經濟核心在哪裡？,888.0
80,8,第三冊,3,中國的工業發展與地區差異,0,章節總複習,章節所有知識點,中國的工業發展與地區差異 （全）-1,889.0
81,8,第三冊,3,中國的工業發展與地區差異,0,章節總複習,章節所有知識點,中國的工業發展與地區差異 （全）-2,890.0
82,8,第三冊,4,中國的經濟發展與全球關連,1,中國如何從世界工廠變成世界市場？,勞動力成本上升、消費市場的崛起,中國如何從世界工廠變成世界市場？,891.0
83,8,第三冊,4,中國的經濟發展與全球關連,2,中國與全球有什麼關連？,全球化、貿易合作,中國與全球有什麼關連？,892.0
84,8,第四冊,4,中國的經濟發展與全球關連,1,中國如何從世界工廠變成世界市場？,中美貿易關係、國內消費市場,中國如何從世界工廠變成世界市場？,893.0
85,8,第四冊,4,中國的經濟發展與全球關連,2,中國與全球有什麼關連？,全球貿易、中國供應鏈,中國與全球有什麼關連？,894.0
86,8,第三冊,4,中國的經濟發展與全球關連,0,章節總複習,章節所有知識點,中國的經濟發展與全球關連 （全）-1,895.0
87,8,第三冊,4,中國的經濟發展與全球關連,0,章節總複習,章節所有知識點,中國的經濟發展與全球關連 （全）-2,896.0
88,8,第三冊,5,東北亞的自然環境,1,東北亞的自然環境有何特色？,地形多樣、氣候多變,東北亞的自然環境有何特色？,897.0
89,8,第三冊,5,東北亞的自然環境,2,環境如何影響日、韓的文化特色？,氣候影響、地形特點,環境如何影響日、韓的文化特色？,898.0
90,8,第四冊,5,東北亞的自然環境,1,東北亞的自然環境有何特色？,季風影響、地形多樣化,東北亞的自然環境有何特色？,899.0
91,8,第四冊,5,東北亞的自然環境,2,環境如何影響日、韓的文化特色？,自然地理特徵、文化適應,環境如何影響日、韓的文化特色？,900.0
92,8,第三冊,5,東北亞的自然環境,0,章節總複習,章節所有知識點,東北亞的自然環境 （全）-1,901.0
93,8,第三冊,5,東北亞的自然環境,0,章節總複習,章節所有知識點,東北亞的自然環境 （全）-2,902.0
94,8,第三冊,6,東北亞的經濟發展,1,日本的產業發展有何特色？,精密製造業領先全球、科技創新與研發投入,日本的產業發展有何特色？,903.0
95,8,第三冊,6,東北亞的經濟發展,2,朝鮮半島的產業發展有何特色？,重工業發展、資訊技術產業,朝鮮半島的產業發展有何特色？,904.0
96,8,第四冊,6,東北亞的經濟發展,1,日本的產業發展有何特色？,人口結構變遷、科技創新,日本的產業發展有何特色？,905.0
97,8,第四冊,6,東北亞的經濟發展,2,朝鮮半島的產業發展有何特色？,朝鮮半島的工業基礎、科技創新,朝鮮半島的產業發展有何特色？,906.0
98,8,第三冊,6,東北亞的經濟發展,0,章節總複習,章節所有知識點,東北亞的經濟發展 （全）-1,907.0
99,8,第三冊,6,東北亞的經濟發展,0,章節總複習,章節所有知識點,東北亞的經濟發展 （全）-2,908.0
100,9,第五冊,1,漢南非洲的自然環境和文化發展,1,漢南非洲的環境與資源有何特色？,氣候多樣性、自然資源豐富,漢南非洲的環境與資源有何特色？,931.0
101,9,第五冊,1,漢南非洲的自然環境和文化發展,2,漢南非洲的文化如何與外界互動？,貿易交流、文化融合,漢南非洲的文化如何與外界互動？,932.0
102,9,第五冊,1,漢南非洲的自然環境和文化發展,0,章節總複習,章節所有知識點,漢南非洲的自然環境和文化發展 （全）-1,933.0
103,9,第五冊,1,漢南非洲的自然環境和文化發展,0,章節總複習,章節所有知識點,漢南非洲的自然環境和文化發展 （全）-2,934.0
104,9,第五冊,2,漢南非洲的經濟發展,1,西方殖民如何影響漢南非洲的政經發展？,殖民資源掠奪、西方政治體制影響,西方殖民如何影響漢南非洲的政經發展？,935.0
105,9,第五冊,2,漢南非洲的經濟發展,2,漢南非洲如何因應減貧的挑戰？,可持續發展目標、國際合作,漢南非洲如何因應減貧的挑戰？,936.0
106,9,第五冊,2,漢南非洲的經濟發展,0,章節總複習,章節所有知識點,漢南非洲的經濟發展 （全）-1,937.0
107,9,第五冊,2,漢南非洲的經濟發展,0,章節總複習,章節所有知識點,漢南非洲的經濟發展 （全）-2,938.0
108,9,第五冊,3,歐洲與俄羅斯的自然環境與區域特色,1,歐洲的文明發展與自然環境有什麼關係？,地形多樣、氣候多變,歐洲的文明發展與自然環境有什麼關係？,939.0
109,9,第五冊,3,歐洲與俄羅斯的自然環境與區域特色,2,面積廣大的俄羅斯有哪些環境特色？,大陸性氣候、廣大森林,面積廣大的俄羅斯有哪些環境特色？,940.0
110,9,第五冊,3,歐洲與俄羅斯的自然環境與區域特色,3,歐洲與俄羅斯的區域發展有何異同？,區域發展的異同、經濟及社會變遷,歐洲與俄羅斯的區域發展有何異同？,941.0
111,9,第五冊,3,歐洲與俄羅斯的自然環境與區域特色,0,章節總複習,章節所有知識點,歐洲與俄羅斯的自然環境與區域特色 （全）-1,942.0
112,9,第五冊,3,歐洲與俄羅斯的自然環境與區域特色,0,章節總複習,章節所有知識點,歐洲與俄羅斯的自然環境與區域特色 （全）-2,943.0
113,9,第五冊,4,歐洲與俄羅斯的經濟發展與區域結盟,1,歐洲如何透過區域結盟發揮影響力？,歐洲聯盟發展歷程、歐盟的影響力,歐洲如何透過區域結盟發揮影響力？,944.0
114,9,第五冊,4,歐洲與俄羅斯的經濟發展與區域結盟,2,解體後的蘇聯有什麼蛻變嗎？,經濟轉型、國家獨立,解體後的蘇聯有什麼蛻變嗎？,945.0
115,9,第五冊,4,歐洲與俄羅斯的經濟發展與區域結盟,0,章節總複習,章節所有知識點,歐洲與俄羅斯的經濟發展與區域結盟 （全）-1,946.0
116,9,第五冊,4,歐洲與俄羅斯的經濟發展與區域結盟,0,章節總複習,章節所有知識點,歐洲與俄羅斯的經濟發展與區域結盟 （全）-2,947.0
117,9,第五冊,5,北美洲的區域特色與經濟發展,1,北美洲的自然環境與農牧業發展有何特色？,五大湖地形、密西西比河流域,北美洲的自然環境與農牧業發展有何特色？,948.0
118,9,第五冊,5,北美洲的區域特色與經濟發展,2,北美洲的工商業發展有哪些特色？,工業化進程、科技創新,北美洲的工商業發展有哪些特色？,949.0
119,9,第五冊,5,北美洲的區域特色與經濟發展,3,北美洲有哪些多元族群？,歐裔、亞裔,北美洲有哪些多元族群？,950.0
120,9,第五冊,5,北美洲的區域特色與經濟發展,0,章節總複習,章節所有知識點,北美洲的區域特色與經濟發展 （全）-1,951.0
121,9,第五冊,5,北美洲的區域特色與經濟發展,0,章節總複習,章節所有知識點,北美洲的區域特色與經濟發展 （全）-2,952.0
122,9,第五冊,6,中南美洲的區域特色與經濟發展,1,中南美洲的自然環境與農牧業發展有何特色？,熱帶雨林氣候、安地斯山脈,中南美洲的自然環境與農牧業發展有何特色？,953.0
123,9,第五冊,6,中南美洲的區域特色與經濟發展,2,中南美洲的經濟發展有哪些特色？,經濟多樣性、產業不平衡,中南美洲的經濟發展有哪些特色？,954.0
124,9,第五冊,6,中南美洲的區域特色與經濟發展,3,中南美洲有哪些多元族群與文化？,多元族群、多樣文化,中南美洲有哪些多元族群與文化？,955.0
125,9,第五冊,6,中南美洲的區域特色與經濟發展,0,章節總複習,章節所有知識點,中南美洲的區域特色與經濟發展 （全）-1,956.0
126,9,第五冊,6,中南美洲的區域特色與經濟發展,0,章節總複習,章節所有知識點,中南美洲的區域特色與經濟發展 （全）-2,957.0
127,9,第六冊,1,地名怎麼來？,1,「臺灣」地名的由來與演變,地名演變、歷史意涵,「臺灣」地名的由來與演變,958.0
128,9,第六冊,1,地名怎麼來？,2,臺灣縣市、鄉鎮市區名的變遷,地名變遷、歷史影響,臺灣縣市、鄉鎮市區名的變遷,959.0
129,9,第六冊,1,地名怎麼來？,0,章節總複習,章節所有知識點,地名怎麼來？ （全）-1,960.0
130,9,第六冊,1,地名怎麼來？,0,章節總複習,章節所有知識點,地名怎麼來？ （全）-2,961.0
131,9,第六冊,2,聚落的命名與商品行銷,1,聚落地名與位置、自然環境的關係,地名來源、自然環境影響,聚落地名與位置、自然環境的關係,962.0
132,9,第六冊,2,聚落的命名與商品行銷,2,聚落地名與族群文化的關係,地名來源、族群文化,聚落地名與族群文化的關係,963.0
133,9,第六冊,2,聚落的命名與商品行銷,3,地名、產業與商品行銷,地名命名原則、品牌策略運用,地名、產業與商品行銷,964.0
134,9,第六冊,2,聚落的命名與商品行銷,0,章節總複習,章節所有知識點,聚落的命名與商品行銷 （全）-1,965.0
135,9,第六冊,2,聚落的命名與商品行銷,0,章節總複習,章節所有知識點,聚落的命名與商品行銷 （全）-2,966.0
136,9,第六冊,3,從產地到餐桌,1,我們食物的來源還是「靠天吃飯」嗎？,農業生產、科技應用,我們食物的來源還是「靠天吃飯」嗎？,967.0
137,9,第六冊,3,從產地到餐桌,2,我們吃的食物有多少是進口的呢？,進口食品、安全管制,我們吃的食物有多少是進口的呢？,968.0
138,9,第六冊,3,從產地到餐桌,3,我們的飲食文化正在消失嗎？,飲食文化的變遷、工業化對飲食的影響,我們的飲食文化正在消失嗎？,969.0
139,9,第六冊,3,從產地到餐桌,0,章節總複習,章節所有知識點,從產地到餐桌 （全）-1,970.0
140,9,第六冊,3,從產地到餐桌,0,章節總複習,章節所有知識點,從產地到餐桌 （全）-2,971.0
141,9,第六冊,4,食品安全面面觀,1,你吃的食物安全嗎？,食品安全標準、食品污染控制,你吃的食物安全嗎？,972.0
142,9,第六冊,4,食品安全面面觀,2,全民如何監督食安問題？,食品安全法規、消費者權益組織,全民如何監督食安問題？,973.0
143,9,第六冊,4,食品安全面面觀,0,章節總複習,章節所有知識點,食品安全面面觀 （全）-1,974.0
144,9,第六冊,4,食品安全面面觀,0,章節總複習,章節所有知識點,食品安全面面觀 （全）-2,975.0
