num,year_grade,book,chapter_num,chapter_name,section_num,section_name,old_section_name
35,8,2,6,社會福利中的國家責任,2,社會福利如何維護人性尊嚴？,社會福利中的國家責任社會福利如何維護人性尊嚴？
36,8,2,6,社會福利中的國家責任,3,如何共構福利社會？,社會福利中的國家責任如何共構福利社會？
37,9,3,1,國家與民主政治,1,國家是如何形成的？,國家與民主政治國家是如何形成的？
38,9,3,1,國家與民主政治,2,國家與政府的關係為何？,國家與民主政治國家與政府的關係為何？
39,9,3,1,國家與民主政治,3,民主政治具備哪些特色？,國家與民主政治民主政治具備哪些特色？
40,9,3,2,政府與權力分立,1,人治與法治的差異為何？,政府與權力分立人治與法治的差異為何？
41,9,3,2,政府與權力分立,2,權力與權利有何差別與關聯？,政府與權力分立權力與權利有何差別與關聯？
42,9,3,2,政府與權力分立,3,為何民主國家的政府須符合分權制衡？,政府與權力分立為何民主國家的政府須符合分權制衡？
43,9,3,3,我國的中央政府,1,我國的中央政府如何組成？,我國的中央政府我國的中央政府如何組成？
44,9,3,3,我國的中央政府,2,我國中央政府各權力間是如何互動的？,我國的中央政府我國中央政府各權力間是如何互動的？
45,9,3,4,我國的地方政府,1,為何要有地方政府與地方自治？,我國的地方政府為何要有地方政府與地方自治？
46,9,3,4,我國的地方政府,2,我國的地方政府如何組成？,我國的地方政府我國的地方政府如何組成？
47,9,3,5,民主國家中的公共意見,1,公共意見是如何形成的？,民主國家中的公共意見公共意見是如何形成的？
48,9,3,5,民主國家中的公共意見,2,公共意見有什麼特性？,民主國家中的公共意見公共意見有什麼特性？
49,9,3,5,民主國家中的公共意見,3,利益團體與政黨如何反映公共意見？,民主國家中的公共意見利益團體與政黨如何反映公共意見？
50,9,3,6,民主社會的政治參與及投票,1,為什麼政治參與很重要？,民主社會的政治參與及投票為什麼政治參與很重要？
51,9,3,6,民主社會的政治參與及投票,2,為何常用投票作為重要的參與形式？,民主社會的政治參與及投票為何常用投票作為重要的參與形式？
52,9,3,6,民主社會的政治參與及投票,3,我國投票過程中如何落實公平？,民主社會的政治參與及投票我國投票過程中如何落實公平？
53,9,4,1,法律與人權,1,法律為什麼存在位階關係？,法律與人權法律為什麼存在位階關係？
54,9,4,1,法律與人權,2,憲法保障哪些基本權利？,法律與人權憲法保障哪些基本權利？
55,9,4,1,法律與人權,3,為什麼憲法是人民權利的保障書？,法律與人權為什麼憲法是人民權利的保障書？
56,9,4,2,生活中的民事規範,1,契約如何訂定才能生效？,生活中的民事規範契約如何訂定才能生效？
57,9,4,2,生活中的民事規範,2,行為能力與契約效力有何關係？,生活中的民事規範行為能力與契約效力有何關係？
58,9,4,2,生活中的民事規範,3,違反民法規定須負什麼法律責任？,生活中的民事規範違反民法規定須負什麼法律責任？
59,9,4,3,犯罪與刑罰,1,國家為什麼要制定刑法？,犯罪與刑罰國家為什麼要制定刑法？
60,9,4,3,犯罪與刑罰,2,如何避免國家濫用刑罰權？,犯罪與刑罰如何避免國家濫用刑罰權？
61,9,4,3,犯罪與刑罰,3,刑罰的目的與制裁方式為何？,犯罪與刑罰刑罰的目的與制裁方式為何？
62,9,4,3,犯罪與刑罰,4,刑法如何區分責任能力？,犯罪與刑罰刑法如何區分責任能力？
63,9,4,4,民事與刑事紛爭的解決,1,發生民事紛爭時該如何處理？,民事與刑事紛爭的解決發生民事紛爭時該如何處理？
64,9,4,4,民事與刑事紛爭的解決,2,犯罪追訴和處罰過程為何？,民事與刑事紛爭的解決犯罪追訴和處罰過程為何？
65,9,4,4,民事與刑事紛爭的解決,3,警察、檢察官及法官有哪些職權？,民事與刑事紛爭的解決警察、檢察官及法官有哪些職權？
66,9,4,5,政府與人民在行政法的角色,1,為什麼行政法與日常生活息息相關？,政府與人民在行政法的角色？為什麼行政法與日常生活息息相關？
67,9,4,5,政府與人民在行政法的角色,2,行政管制的內容與依法行政的原因為何？,政府與人民在行政法的角色？行政管制的內容與依法行政的原因為何？
68,9,4,5,政府與人民在行政法的角色,3,行政救濟的意義和途徑為何？,政府與人民在行政法的角色？行政救濟的意義和途徑為何？
69,9,4,6,法律對兒童及少年的保障與規範,1,兒童及少年為何應具備重要法律知識？,法律對兒童及少年的保障與規範兒童及少年為何應具備重要法律知識？
70,9,4,6,法律對兒童及少年的保障與規範,2,我國有哪些保護兒童及少年的法律措施？,法律對兒童及少年的保障與規範我國有哪些保護兒童及少年的法律措施？
71,9,4,6,法律對兒童及少年的保障與規範,3,少年觸法行為有哪些保護措施？,法律對兒童及少年的保障與規範少年觸法行為有哪些保護措施？
72,10,5,1,生活中的選擇,1,為何生活中處處須做選擇？,生活中處處要做選擇為何生活中處處須做選擇？
73,10,5,1,生活中的選擇,2,如何應用機會成本來做選擇？,生活中處處要做選擇如何應用機會成本來做選擇？
74,10,5,1,生活中的選擇,3,誘因如何影響我們的選擇？,生活中處處要做選擇誘因如何影響我們的選擇？
75,10,5,2,如何分配有限的資源,1,不同的資源分配方法有何優缺點？,如何分配有限的資源不同的資源分配方法有何優缺點？
76,10,5,2,如何分配有限的資源,2,價格如何影響消費者的資源分配？,如何分配有限的資源價格如何影響消費者的資源分配？
77,10,5,2,如何分配有限的資源,3,價格如何影響生產者的資源分配？,如何分配有限的資源價格如何影響生產者的資源分配？
78,10,5,3,廠商競爭對市場的影響,1,廠商生產產品時考量什麼？,廠商競爭對市場的影響廠商生產產品時考量什麼？
79,10,5,3,廠商競爭對市場的影響,2,廠商的競爭方式有哪些？,廠商競爭對市場的影響廠商的競爭方式有哪些？
80,10,5,3,廠商競爭對市場的影響,3,廠商間的競爭對消費者有何影響？,廠商競爭對市場的影響廠商間的競爭對消費者有何影響？
81,10,5,4,貨幣與支付方式的演進,1,貨幣為什麼會出現？,貨幣與支付方式的演進貨幣為什麼會出現？
82,10,5,4,貨幣與支付方式的演進,2,市場上還有哪些常見的支付方式？,貨幣與支付方式的演進市場上還有哪些常見的支付方式？
83,10,5,4,貨幣與支付方式的演進,3,國際貿易最常見的支付工具是什麼？,貨幣與支付方式的演進國際貿易最常見的支付工具是什麼？
84,10,5,5,經濟生活中的民事規範,1,經濟活動與契約有何關係？,經濟生活中的民事規範經濟活動與契約有何關係？
85,10,5,5,經濟生活中的民事規範,2,契約如何訂定才能生效？,經濟生活中的民事規範契約如何訂定才能生效？
86,10,5,5,經濟生活中的民事規範,3,行為能力與契約效力有何關係？,經濟生活中的民事規範行為能力與契約效力有何關係？
87,10,5,5,經濟生活中的民事規範,4,違反民法規定須負什麼法律責任？,經濟生活中的民事規範違反民法規定須負什麼法律責任？
88,10,5,6,民事紛爭的權利救濟途徑,1,發生民事紛爭時該如何處理？,民事紛爭的權利救濟途徑發生民事紛爭時該如何處理？
89,10,5,6,民事紛爭的權利救濟途徑,2,如何透過訴訟外途徑解決民事紛爭？,民事紛爭的權利救濟途徑如何透過訴訟外途徑解決民事紛爭？
90,10,5,6,民事紛爭的權利救濟途徑,3,如何透過訴訟解決民事紛爭？,民事紛爭的權利救濟途徑如何透過訴訟解決民事紛爭？
91,10,6,1,全球化的地球村,1,什麼是全球化？,全球化的地球村什麼是全球化？
92,10,6,1,全球化的地球村,2,生活中如何觀察全球化？,全球化的地球村生活中如何觀察全球化？
93,10,6,1,全球化的地球村,3,人們對全球化的支持與反對看法是什麼？,全球化的地球村人們對全球化的支持與反對看法是什麼？
94,10,6,2,日常生活中的分工與交易,1,人們如何解決日常生活的需求？,日常生活中的分工與交易人們如何解決日常生活的需求？
95,10,6,2,日常生活中的分工與交易,2,為何透過分工與交易對雙方都有利？,日常生活中的分工與交易為何透過分工與交易對雙方都有利？
96,10,6,2,日常生活中的分工與交易,3,我國開放外國商品進口有何利弊？,日常生活中的分工與交易我國開放外國商品進口有何利弊？
97,10,6,3,生活中的勞動參與,1,勞動參與的重要性為何？,生活中的勞動參與勞動參與的重要性為何？
98,10,6,3,生活中的勞動參與,2,家務勞動分擔不公有何影響？,生活中的勞動參與家務勞動分擔不公有何影響？
99,10,6,3,生活中的勞動參與,3,為何需立法保障公平的市場勞動參與？,生活中的勞動參與為何需立法保障公平的市場勞動參與？
100,10,6,4,國際社會的參與,1,為何要參與國際社會？,國際社會的參與為何要參與國際社會？
101,10,6,4,國際社會的參與,2,如何透過國際組織參與國際社會？,國際社會的參與如何透過國際組織參與國際社會？
102,10,6,4,國際社會的參與,3,兩岸關係對我國國際參與有何影響？,國際社會的參與兩岸關係對我國國際參與有何影響？
