num,year_grade,book,chapter_num,chapter_name,section_num,section_name,old_section_name
19,8,2,2,日治時期的經濟發展,2,工業日本，農業臺灣,日治時期的經濟發展工業日本，農業臺灣
20,8,2,2,日治時期的經濟發展,3,工業臺灣，農業南洋,日治時期的經濟發展工業臺灣，農業南洋
21,8,2,3,日治時期的社會與文化,1,差別待遇的殖民教育,日治時期的社會與文化差別待遇的殖民教育
22,8,2,3,日治時期的社會與文化,2,文化啟蒙與政治社會運動,日治時期的社會與文化文化啟蒙與政治社會運動
23,8,2,3,日治時期的社會與文化,3,社會文化的變革與調適,日治時期的社會與文化社會文化的變革與調適
24,8,2,4,戰後臺灣的政治變遷,1,二二八事件,戰後臺灣的政治變遷二二八事件
25,8,2,4,戰後臺灣的政治變遷,2,戒嚴體制與白色恐怖,戰後臺灣的政治變遷戒嚴體制與白色恐怖
26,8,2,4,戰後臺灣的政治變遷,3,民主化的歷程,戰後臺灣的政治變遷民主化的歷程
27,8,2,4,戰後臺灣的政治變遷,4,國家政策下的原住民族,戰後臺灣的政治變遷國家政策下的原住民族
28,8,2,5,戰後臺灣的兩岸關係與外交,1,兩岸關係的演變,戰後臺灣的兩岸關係與外交兩岸關係的演變
29,8,2,5,戰後臺灣的兩岸關係與外交,2,政府遷臺後的對外關係,戰後臺灣的兩岸關係與外交政府遷臺後的對外關係
30,8,2,6,戰後臺灣的經濟與社會發展,1,經濟變遷,戰後臺灣的經濟與社會發展經濟變遷
31,8,2,6,戰後臺灣的經濟與社會發展,2,文化與社會的演變,戰後臺灣的經濟與社會發展文化與社會的演變
32,9,3,1,商周至隋唐的國家與社會,1,從封建到帝國,商周至隋唐的國家與社會從封建到帝國
33,9,3,1,商周至隋唐的國家與社會,2,帝國政權的維繫,商周至隋唐的國家與社會帝國政權的維繫
34,9,3,2,商周至隋唐的民族與文化,1,商周至隋唐的民族互動,商周至隋唐的民族與文化商周至隋唐的民族互動
35,9,3,2,商周至隋唐的民族與文化,2,民族互動下的文化交流,商周至隋唐的民族與文化民族互動下的文化交流
36,9,3,3,宋元時期的民族互動,1,遼宋金的國際互動,宋元時期的民族互動遼宋金的國際互動
37,9,3,3,宋元時期的民族互動,2,蒙古的崛起與擴張,宋元時期的民族互動蒙古的崛起與擴張
38,9,3,3,宋元時期的民族互動,3,商貿與文化交流,宋元時期的民族互動商貿與文化交流
39,9,3,4,明清帝國與天朝體制,1,明清時期的東亞世界,明清帝國與天朝體制明清時期的東亞世界
40,9,3,4,明清帝國與天朝體制,2,制商貿活動的發展,明清帝國與天朝體制商貿活動的發展
41,9,3,4,明清帝國與天朝體制,3,東西文化的交流與影響,明清帝國與天朝體制東西文化的交流與影響
42,9,3,5,西力衝擊下的晚清變革,1,晚清以來的東西方接觸,西力衝擊下的晚清變革晚清以來的東西方接觸
43,9,3,5,西力衝擊下的晚清變革,2,甲午戰爭後的政治改革,西力衝擊下的晚清變革甲午戰爭後的政治改革
44,9,3,6,晚清的社會文化變遷,1,城市新風貌,晚清的社會文化變遷城市新風貌
45,9,3,6,晚清的社會文化變遷,2,家族與婦女角色的變化,晚清的社會文化變遷家族與婦女角色的變化
46,9,4,1,中華民國的早期發展,1,中華民國的建立,中華民國的早期發展中華民國的建立
47,9,4,1,中華民國的早期發展,2,北京政府的政局發展,中華民國的早期發展北京政府的政局發展
48,9,4,1,中華民國的早期發展,3,國共的合作與決裂,中華民國的早期發展國共的合作與決裂
49,9,4,2,舊傳統與新思潮,1,新文化運動,舊傳統與新思潮新文化運動
50,9,4,2,舊傳統與新思潮,2,五四運動,舊傳統與新思潮五四運動
51,9,4,2,舊傳統與新思潮,3,對傳統社會的衝擊,舊傳統與新思潮對傳統社會的衝擊
52,9,4,3,現代國家的挑戰,1,國民政府的內政,現代國家的挑戰國民政府的內政
53,9,4,3,現代國家的挑戰,2,中日危機的加深,現代國家的挑戰中日危機的加深
54,9,4,3,現代國家的挑戰,3,中日戰爭,現代國家的挑戰中日戰爭
55,9,4,4,中華人民共和國的建立,1,國共內戰,中華人民共和國的建立國共內戰
56,9,4,4,中華人民共和國的建立,2,中華人民共和國初期的發展,中華人民共和國的建立中華人民共和國初期的發展
57,9,4,4,中華人民共和國的建立,3,文化大革命,中華人民共和國的建立文化大革命
58,9,4,5,中共改革開放後的政經發展,1,改革開放與六四事件,中共改革開放後的政經發展改革開放與六四事件
59,9,4,5,中共改革開放後的政經發展,2,一九九○年代以後中國大陸的發展,中共改革開放後的政經發展一九九○年代以後中國大陸的發展
60,9,4,6,當代東亞與東南亞的發展,1,冷戰時期的東亞局勢,當代東亞與東南亞的發展冷戰時期的東亞局勢
61,9,4,6,當代東亞與東南亞的發展,2,東南亞地區國際組織的發展,當代東亞與東南亞的發展東南亞地區國際組織的發展
62,10,5,1,西亞與埃及的古代文化,1,西亞古文化,西亞與埃及的古代文化西亞古文化
63,10,5,1,西亞與埃及的古代文化,2,埃及古文化,西亞與埃及的古代文化埃及古文化
64,10,5,2,古希臘與古羅馬的政治及文化,1,希臘的政治與文化,古希臘與古羅馬的政治及文化希臘的政治與文化
65,10,5,2,古希臘與古羅馬的政治及文化,2,羅馬的政治與文化,古希臘與古羅馬的政治及文化羅馬的政治與文化
66,10,5,3,普世宗教的起源與發展,1,佛教的起源與發展,普世宗教的起源與發展佛教的起源與發展
67,10,5,3,普世宗教的起源與發展,2,基督教的起源與發展,普世宗教的起源與發展基督教的起源與發展
68,10,5,3,普世宗教的起源與發展,3,伊斯蘭教的起源與發展,普世宗教的起源與發展伊斯蘭教的起源與發展
69,10,5,4,近代歐洲的興起,1,文藝復興,近代歐洲的興起文藝復興
70,10,5,4,近代歐洲的興起,2,宗教改革,近代歐洲的興起宗教改革
71,10,5,5,多元世界的互動,1,近代歐洲的海外擴張,多元世界的互動近代歐洲的海外擴張
72,10,5,5,多元世界的互動,2,美洲、澳洲的政治與文化,多元世界的互動美洲、澳洲的政治與文化
73,10,5,5,多元世界的互動,3,近代東南亞與南亞,多元世界的互動近代東南亞與南亞
74,10,5,6,理性思維的開展,1,科學革命,理性思維的開展科學革命
75,10,5,6,理性思維的開展,2,啟蒙運動,理性思維的開展啟蒙運動
76,10,6,1,近代以來的民主浪潮與社會變革,1,美國獨立,近代以來的民主浪潮與社會變革美國獨立
77,10,6,1,近代以來的民主浪潮與社會變革,2,法國大革命與維也納會議,近代以來的民主浪潮與社會變革法國大革命與維也納會議
78,10,6,1,近代以來的民主浪潮與社會變革,3,工業革命,近代以來的民主浪潮與社會變革工業革命
79,10,6,2,從民族主義到帝國主義,1,民族主義與新興民族國家,從民族主義到帝國主義民族主義與新興民族國家
80,10,6,2,從民族主義到帝國主義,2,帝國主義的擴張,從民族主義到帝國主義帝國主義的擴張
81,10,6,3,第一次世界大戰與極權政治,1,第一次世界大戰,第一次世界大戰與極權政治第一次世界大戰
82,10,6,3,第一次世界大戰與極權政治,2,戰間期的政經局勢發展,第一次世界大戰與極權政治戰間期的政經局勢發展
83,10,6,4,第二次世界大戰與戰後世界,1,第二次世界大戰,第二次世界大戰與戰後世界第二次世界大戰
84,10,6,4,第二次世界大戰與戰後世界,2,從美蘇兩極到多元的世局,第二次世界大戰與戰後世界從美蘇兩極到多元的世局
