ques_no,subject,chapter_name,section_name,question_text,matched_knowledge_point,status,reason
11,高中化學,物質的組成與形成,物質的分類與分離方法,許多人喜歡在夏天到海邊戲水，也會在沙灘玩沙。試問在臺灣沿海的沙灘隨意抓取的一把沙是屬於下列哪一類的物質？(A)元素(B)純物質(C)化合物(D)混合物(E)聚合物 《答案》D《解析》沙是由石英、長石、...,物質性質與分類,matched,
12,高中化學,物質的組成與形成,物質的分類與分離方法,要從一杯食鹽水取得其中的溶劑成分，適當的處理方法是將此食鹽水(A)過濾(B)蒸餾(C)沉澱(D)蒸發結晶  (E)萃取 《答案》B《解析》食鹽水常藉蒸餾法將水蒸發再冷凝得到水。若要取得食鹽需利用蒸發結...,蒸餾法,matched,
13,高中化學,物質的組成與形成,物質的分類與分離方法,圖中以大灰球與小藍球分別代表兩種不同的原子，有關甲、乙、丙、丁四圖所含的物質，下列敘述何者最合理？(A)甲圖中是化合物(B)乙圖中是混合物(C)丙圖中是純物質(D)丁圖中是元素 《答案》D《解析》(...,,skipped,題目提到圖片相關內容: 圖中
14,高中化學,物質的組成與形成,物質的分類與分離方法,無咖啡因（或低咖啡因）的咖啡，能滿足某些喜歡咖啡的香味、卻不希望攝取過量咖啡因的人們。若欲在實驗室裡，從咖啡豆中將咖啡因分離，可先取一裝有熱水的燒杯，倒入咖啡豆後，緩緩加熱、浸泡咖啡豆一段時間，待冷卻...,萃取法,matched,
15,高中化學,物質的組成與形成,物質的分類與分離方法,萃取時，使用分液漏斗來分離兩互不相溶的液體，附圖中，何者為分液漏斗？(A)甲(B)乙(C)丙(D)丁《答案》C《解析》甲：布氏漏斗。乙：薊頭漏斗。丁：漏斗。,,skipped,題目提到圖片相關內容: 圖中
16,高中化學,物質的組成與形成,物質的分類與分離方法,用水煎中藥是利用下列哪項原理？(A)蒸餾(B)萃取(C)昇華(D)層析(E)分餾《答案》B《解析》(B)用水煎煮中藥，可萃取出可溶於水的化學成分。,萃取法,matched,
17,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關混合物分離所採用的主要方法，何者錯誤？(A)榨取橄欖後的沉降殘渣和橄欖油—傾析法(B)製作乳酪的過程中，將牛奶酸化，使酪蛋白凝聚，然後將其中的水分瀝除—過濾法(C)將玫瑰花瓣隔水加熱，其蒸氣冷...,萃取法,matched,
18,高中化學,物質的組成與形成,物質的分類與分離方法,碘不易溶於水，但可溶於正己烷，加入正己烷溶劑，由於水與正己烷不互溶，因此實驗結果為下層顏色略為變淡，上層變紫色，再利用分液漏斗將水與正己烷溶劑分離，可分離出碘的方法為何？(A)傾析法(B)離心法(C)...,萃取法,matched,
19,高中化學,物質的組成與形成,物質的分類與分離方法,附圖為蒸餾裝置，試指出裝置中需要修正之處為何？(A)溫度計位置(B)加熱裝置(C)冷水入口(D)收集瓶位置(E)蒸餾瓶《答案》A《解析》溫度計的底部應在圓 底燒瓶的側管位置。,,skipped,題目提到圖片相關內容: 圖為
20,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種純化方法，最適合用來分離食鹽水溶液？(A)蒸餾法(B)過濾法(C)傾析法(D)離心法(E)濾紙色層分析法《答案》A《解析》(B)用於不均勻混合物的分離。(C)用於不均勻混合物的分離。(D)用於...,蒸餾法,matched,
21,高中化學,物質的組成與形成,物質的分類與分離方法,現有一瓶由甲和乙兩化合物組成的混合物，已知甲與乙的性質如附表。根據此表，將甲、乙分離的最佳方法為何？(A)靜置(B)傾析(C)過濾(D)蒸餾(E)加水萃取《答案》D《解析》因沸點有較明顯的差異，故以...,蒸餾法,matched,
22,高中化學,物質的組成與形成,物質的分類與分離方法,如附圖裝置，以蒸餾法分離混合物。下列敘述何者正確？(A)冷水應由甲處流入(B)丙處溫度計的位置正確(C)丁處收集到的液體，其沸點較原混合物高(D)實驗完，應先關冷卻水再熄火《答案》B《解析》(A)冷...,,skipped,題目提到圖片相關內容: 附圖
23,高中化學,物質的組成與形成,物質的分類與分離方法,下列哪一種分離技術是利用物質的附著力差異來分離混合物？蒸餾(B)色層分析(C)傾析(D)過濾(E)萃取《答案》B《解析》(A)利用沸點差異。(C)利用密度差異。(D)利用溶質顆粒大小差異。(E)利用溶...,層析法,matched,
24,高中化學,物質的組成與形成,物質的分類與分離方法,下列關於混合物分離與純化的方法，哪個組合完全正確？《答案》B《解析》(A)竹筷以鋁箔包住加熱為乾餾，蒸餾的例子應如從墨水中蒸餾分離出水。(C)為「再」結晶，且應將此固體混合物先溶於熱水中。(D)乙醇...,蒸餾法,matched,
25,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關濾紙層析法的敘述，何者正確？(A)此法為利用物質比重的不同以分離物質(B)與濾紙間作用力愈大的物質，在濾紙中展開的距離愈遠(C)利用濾紙層析法可分離出植物色素的部分成分(D)濾紙層析法須在真空...,層析法,matched,
26,高中化學,物質的組成與形成,物質的分類與分離方法,一混合物經濾紙層析後，結果如附圖。若各成分與濾紙間的作用力為F1，各成分與展開液間的作用力為F2，則混合物中的哪一種成分之（F2－F1）值最大？(A)甲(B)乙(C)丙(D)丁(E)戊《答案》E《解...,,skipped,題目提到圖片相關內容: 附圖
27,高中化學,物質的組成與形成,物質的分類與分離方法,下列物質何者屬於混合物？(A)水銀(B)白金  (C)過氧化氫(D)漂白水(E)乾冰。《答案》D《解析》漂白水為次氯酸鈉（NaOCl）的水溶液，是混合物。,物質性質與分類,matched,
28,高中化學,物質的組成與形成,物質的分類與分離方法,下列關於物質的敘述，何項錯誤？(A)元素具有固定的性質(B)化合物無一定的性質(C)元素間化合時有選擇性(D)化合物中含有兩種以上的元素  (E)混合物仍具有組成物質的特性。《答案》B《解析》化合物有...,物質性質與分類,matched,
29,高中化學,物質的組成與形成,物質的分類與分離方法,從硫粉與碘的混和固體中，分離出碘的純化方法，下列何項較簡便、可行？(A)過濾(B)結晶(C)萃取  (D)昇華(E)層析。《答案》D《解析》運用碘的昇華特性，可純化分離出碘。,物質性質與分類,matched,
30,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者不屬於「物質」？(A)金(B)木(C)水(D)火(E)土 。《答案》D《解析》物質占有空間、具有質量。,物質性質與分類,matched,
31,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種液體在一大氣壓時，沒有固定的沸點？(A)液態氨(B)92無鉛汽油(C)乙醇(D)水(E)冰醋酸 。《答案》B《解析》純物質有固定熔、沸點，混合物則否。,物質性質與分類,matched,
32,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者有誤？(A)純物質具有一定的組成及一定的特性(B)混合物的性質隨組成而定(C)化合物不具有組成成分元素的性質(D)元素與化合物均屬於純物質  (E)元素僅由1個原子所組成 。《答案》E《解析》...,物質性質與分類,matched,
33,高中化學,物質的組成與形成,物質的分類與分離方法,下面有關元素及原子的概念，哪一項敘述正確？(A)純物質甲受熱分解產生純物質乙及氣體丙，則物質甲不可能是元素(B)具有物質特性之最小單元是原子(C)由兩種相同元素組成的多種化合物，性質必相同(D)乾淨的...,物質性質與分類,matched,
34,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種物質中僅含一種分子？(A)牛奶(B)鹽酸(C)氨氣(D)空氣  (E)食鹽水 。《答案》C《解析》僅含一種分子的物質，是為純物質。,物質性質與分類,matched,
35,高中化學,物質的組成與形成,物質的分類與分離方法,下列何組混合物可用傾析法進行分離？(A)鐵粉與泥沙的混合物(B)珍珠奶茶中的粉圓與奶茶(C)糖與鹽的混合物(D)酒精與水的混合物  (E)黃銅中的銅與鋅  。《答案》B《解析》(A)鐵沙與泥沙均難溶於...,傾析法,matched,
36,高中化學,物質的組成與形成,物質的分類與分離方法,下列關於傾析、過濾與層析的敘述，何者正確？(A)下雨天過後，原水濁度大幅上升，這些原水經過傾析、過濾之後，便是安全的飲用水(B)為了加快過濾速率，所以在過濾時應盡量將溶液大量倒入漏斗，若能保持液面超過...,過濾法,matched,
37,高中化學,物質的組成與形成,物質的分類與分離方法,在附圖中，以大灰球與小白球分別代表兩種不同的原子，甲、乙、丙、丁、戊五個圖分別代表某種物質，哪些代表混合物？(A)甲乙(B)乙戊(C)丙戊(D)丁戊  (E)甲丙 。《答案》E《解析》甲：混合物（兩...,,skipped,題目提到圖片相關內容: 圖中
38,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種現象可用來說明鎂帶燃燒是化學變化？(A)產生強光(B)放出熱量(C)產生白色物質(D)高溫才可點燃  (E)鎂帶具有延展性  。《答案》C《解析》化學反應有新物質產生。,物質性質與分類,matched,
39,高中化學,物質的組成與形成,物質的分類與分離方法,某一物質，顏色為白色，熔點50.0℃，加熱時生成一白色氣體和一棕色固體，則此物為一種(A)元素(B)化合物(C)溶液(D)混合物  (E)聚合物  。《答案》B《解析》熔點固定，為純物質。又加熱產生兩...,物質性質與分類,matched,
40,高中化學,物質的組成與形成,物質的分類與分離方法,1985年，史梅利（Smalley）等三人，利用雷射在高溫高壓下，激發石墨而發現的穩定分子，因而在1996年榮獲諾貝爾獎。是由60個碳原子組成的球狀分子。在物質的分類上，屬於下列何者？(A)元素...,物質性質與分類,matched,
41,高中化學,物質的組成與形成,物質的分類與分離方法,下列分離物質的方法，何者不屬於物理方法？(A)過濾(B)層析(C)乾餾(D)結晶  (E)蒸餾  。《答案》C《解析》乾餾：隔絕空氣，強熱分解→化學方法。,物質性質與分類,matched,
42,高中化學,物質的組成與形成,物質的分類與分離方法,下列物質中，哪些為混合物？(A)?????(B)?????(C)?????(D)????? 。《答案》D《解析》,物質性質與分類,matched,
43,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者的關係為同素異形體？(A)碳（）、碳（）(B)甲烷、乙烷(C)白磷、紅磷(D)鑽石、金剛石  (E)乙醇、甲醚  。《答案》C《解析》(A)同位素；(B)同系物；(D)相同的東西；(E...,物質性質與分類,matched,
44,高中化學,物質的組成與形成,物質的分類與分離方法,有某一白色物質，熔點50.0℃，加熱時生成一無色氣體和一棕色固體，則該物是一種(A)化合物(B)元素(C)溶液(D)混合物 。《答案》A,物質性質與分類,matched,
45,高中化學,物質的組成與形成,物質的分類與分離方法,小華想將碘由海帶中取中，請問他應該使用下列哪一組器材進行分離？(A)(B)(C)(D)  (E)酒精燈+蒸發皿的圖   。《答案》A《解析》萃取，器材為(A)。,萃取法,matched,
46,高中化學,物質的組成與形成,物質的分類與分離方法,萃取、層析、結晶、蒸餾、過濾、傾析，以上數種化學分離法中，有多少項是利用物理性質的不同將物質分離？(A)6種(B)5種(C)4種(D)3種  (E)2種  。《答案》A《解析》均是利用物理性質的不同進...,物質性質與分類,matched,
47,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種方法無法分離溶液中之沉澱物？(A)離心(B)過濾(C)層析(D)傾析  (E)蒸發。《答案》C《解析》(A)(B)(D)(E)均可以分離溶液與沉澱物。,層析法,matched,
48,高中化學,物質的組成與形成,物質的分類與分離方法,下列關於物質的分離與物質性質的敘述，何者錯誤？(A)水溶液中的沉澱物可用過濾法分離(B)葡萄酒以蒸餾方法，可分離出高濃度乙醇(C)汽油可由石油蒸餾獲得，因此可知汽油為純物質(D)化合物經過適當的化學處...,物質性質與分類,matched,
49,高中化學,物質的組成與形成,物質的分類與分離方法,某一純物質經分析得知含有碳與氧，則此純物質可分類為下列何種？(A)元素(B)化合物(C)混合物(D)溶液。《答案》B《解析》化合物是由兩種或兩種以上的原子組成的純物質。,物質性質與分類,matched,
50,高中化學,物質的組成與形成,物質的分類與分離方法,在常溫常壓下，下列何種物質具有特定的物理性質（如沸點、密度）？(A)氨水(B)汽油(C)碘酒(D)鹽酸  (E)水銀。《答案》E《解析》水銀為純物質，具有特定的物理性質，如沸點、密度。,物質性質與分類,matched,
51,高中化學,物質的組成與形成,物質的分類與分離方法,從細砂與碘的混合固體中，分離出碘的純化分法，下列何項較簡便、可行？(A)過濾(B)結晶(C)昇華(D)蒸餾  (E)層析。《答案》C《解析》運用碘的昇華特性，可純化分離出碘。,物質性質與分類,matched,
52,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種過程與「蒸發」最相關？(A)加壓丙烷、丁烷氣體製成液化石油氣(B)臺南七股以曝晒法製取粗鹽(C)碳酸鈣受熱會分解出CO2(D)樟腦丸直接氣化而消失  (E)金屬鈉投入水中產生氫氣而有火花 。《...,蒸餾法,matched,
53,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關元素及原子概念的敘述，何者正確？(A)純物質甲經分解產生化合物乙及氣體丙，則物質甲不可能是元素(B)元素由同一種原子組成，化合物則由同一種分子組成(C)分子必定由兩個以上原子組成  (D)由兩...,物質性質與分類,matched,
54,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關物質的敘述，何者錯誤？(A)元素為純物質，具有固定的性質(B)元素與元素間產生化合時，具有選擇性(C)化合物是由不同元素所組成，故不具有固定的性質(D)化合物具有固定的熔點與沸點  (E)混合...,物質性質與分類,matched,
55,高中化學,物質的組成與形成,物質的分類與分離方法,一純物質受熱分解出及少許固體粉末，此純物質可能為下列何者？(A)元素(B)化合物(C)混合物(D)化合物或混合物 。《答案》B,物質性質與分類,matched,
56,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關氮氣的敘述，何者屬於化學性質？(A)0℃、1 atm時，密度為1.25 g/L(B)沸點為℃(C)無色、無味、無臭的氣體(D)難溶於水  (E)常溫下幾乎不與任何元素化合 。《答案》E,物質性質與分類,matched,
57,高中化學,物質的組成與形成,物質的分類與分離方法,早期臺灣南部的鹽田，是利用哪一種方法自海水中得到粗鹽？(A)結晶法(B)蒸餾法(C)凝固法(D)層析法  (E)萃取法  。《答案》A《解析》海水經由日晒，產生粗鹽。,物質性質與分類,matched,
58,高中化學,物質的組成與形成,物質的分類與分離方法,北極地區的人民利用哪一種方法從海水中獲取飲用水，以供所需？(A)結晶法(B)蒸餾法(C)凝固法(D)層析法  (E)萃取法  。《答案》C《解析》海水結成冰時，大量鹽析出，以供所需。,物質性質與分類,matched,
59,高中化學,物質的組成與形成,物質的分類與分離方法,有一杯無色之液體，若欲知其為純物質或混合物，則下列何種方法是可行的辦法？(A)加入酸鹼指示劑看它是否變色(B)測液體之導電度大小(C)測其密度大小而判定(D)加熱至沸騰，看它的沸點變化 。《答案》D《...,物質性質與分類,matched,
60,高中化學,物質的組成與形成,物質的分類與分離方法,下列何組物質，兩者都屬於化合物？(A)氨水，重水(B)鑽石，黃銅(C)臭氧，二氧化氮(D)葡萄糖，乾冰 。《答案》D《解析》(A)氨水是混合物。(B)鑽石為元素，黃銅是混合物。(C)臭氧為元素，二氧化...,物質性質與分類,matched,
61,高中化學,物質的組成與形成,物質的分類與分離方法,蒸餾法是利用什麼原理達到物質分離的目的？(A)蒸氣壓高低不同(B)溶解度大小不同(C)沸點高低不同(D)汽化熱不同 。《答案》C《解析》蒸餾法利用沸點高低不同來分離混合物。,蒸餾法,matched,
62,高中化學,物質的組成與形成,物質的分類與分離方法,下列各組區別兩物質的方法，何者正確？(甲)氯化鈉水溶液與純水──過濾；(乙)柴油與乙醇──測其沸點；(丙)金剛石與石墨──測其導電性；(丁)空氣與純氮氣──點燃蠟燭(A)甲、乙(B)甲、乙、丙(C)乙...,物質性質與分類,matched,
63,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關元素及原子的概念，那一項敘述是正確的？(A)純物質甲受熱分解產生純物質乙及氣體丙，則物質甲不可能是元素(B)具有特質特性之最小單元是原子(C)由兩種相同元素組成的多種化合物，性質必定相同(D)...,物質性質與分類,matched,
64,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關混合物分離所採用的方法何者錯誤？(A)搾取橄欖後的殘渣和橄欖油可用傾析法分離(B)分離彩色筆顏料中的不同色素可用濾紙色層分析法(C)去除咖啡中的咖啡因可用分餾法(D)分離出樹葉中的葉綠素可用萃...,萃取法,matched,
65,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關物質分類的敘述，何者正確？(A)精鹽由氯化鈉所組成，所以是純物質(B)純水可經由電解生成氫氣，所以不是純物質(C)糖水為純糖溶於純水組成，所以是純物質(D)氫氣和氧氣燃燒產生水，所以水是一種混...,物質性質與分類,matched,
66,高中化學,物質的組成與形成,物質的分類與分離方法,下列那些化工技術用到蒸餾的過程？(A)用黃豆做豆漿(B)釀製高粱酒(C)萃取植物葉片中的葉綠素(D)奶油離心脫脂 。《答案》B《解析》高粱酒釀製後以蒸餾來提高酒精濃度。,蒸餾法,matched,
67,高中化學,物質的組成與形成,物質的分類與分離方法,物質的分類方式如圖所示，下列敘述何者正確？(A)甲為混合物(B)乙為純物質(C)丙可能為臭氧(D)丁可能是鹽酸 。《答案》C《解析》(A)甲為純物質。(B)乙為混合物。(D)鹽酸為氯化氫的水溶液,,skipped,題目提到圖片相關內容: 如圖
68,高中化學,物質的組成與形成,物質的分類與分離方法,在一大氣壓下，何者沒有固定的沸點？(A)乙醇(B)液態氮(C)92無鉛汽油(D)純水 。《答案》C《解析》純物質有固定的沸點，混合物沒有固定的沸點。汽油為混合物。,物質性質與分類,matched,
69,高中化學,物質的組成與形成,物質的分類與分離方法,下列是有關鈉金屬的敘述，何者屬化學性質？(A)鈉的密度為(B)鈉在889°C時沸騰(C)鈉原子半徑0.816nm(D)鈉投入水中會冒火花 。《答案》D《解析》(D)火花是因為鈉與水反應生成的燃燒產...,物質性質與分類,matched,
70,高中化學,物質的組成與形成,物質的分類與分離方法,過濾、蒸餾、離心、萃取、再結晶及層析，以上六種化學上常用的分離技術，利用混合物質之物理性質的差異來分離物質的有幾項？(A)2(B)3(C)4(D)5(E)6 項《答案》E《解析》過濾、蒸餾、離心、萃取...,物質性質與分類,matched,
71,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關物質的敘述，何者正確？(A)石油混合物，而汽油是化合物(B)鑽石是純物質，但不是化合物(C)葡萄糖水是由葡萄糖和水組成的純物質(D)不鏽鋼不易生鏽，所以是純物質(E)糖水為純糖溶於純水組成，所...,物質性質與分類,matched,
72,高中化學,物質的組成與形成,物質的分類與分離方法,常壓下，A、B兩物質由液態冷卻至固態之冷卻曲線如圖：有關A、B兩物質的敘述，何者最合理？(A)A為元素，B為化合物(B)A為化合物，B為元素(C)A為元素，B為混合物(D)A為混合物，B為化合物(E...,,skipped,題目提到圖片相關內容: 如圖
73,高中化學,物質的組成與形成,物質的分類與分離方法,如果以圖示的方式來表示物質的狀態和組成，則附圖中何者代表氣態混合物？《答案》C《解析》氣態物質會充滿整個容器。(D)為氣態純物質。,,skipped,題目提到圖片相關內容: 圖中
74,高中化學,物質的組成與形成,物質的分類與分離方法,圖(甲)～(戊)五種以微觀圖示的物質中，屬於純物質的有幾種？(A)1(B)2(C)3(D)4(E)5 。《答案》D《解析》(丙)為混合物，其餘4種為純物質。,物質性質與分類,matched,
75,高中化學,物質的組成與形成,物質的分類與分離方法,下列何種元素沒有同素異形體？(A)P(B)C(C)F(D)O 。《答案》C《解析》(A)磷的同素異形體有白磷、紅磷；(B)碳的同素異形體有石墨、鑽石、；(D)氧的同素異形體有、,物質性質與分類,matched,
76,高中化學,物質的組成與形成,物質的分類與分離方法,用水煎中藥是利用下列哪項原理？(A)蒸餾(B)萃取(C)昇華(D)層析(E)分餾 。《答案》B《解析》煎藥過程以水來溶解萃取藥材中的有效成分。,萃取法,matched,
77,高中化學,物質的組成與形成,物質的分類與分離方法,附圖中，小白球代表氦原子，大灰球代表氮原子。那一圖最適合表示1atm、25℃時，氦氣與氮氣混合氣體的狀態？《答案》E《解析》氦氣為He，氮氣為N2，所有的氣體在容器中必定會均勻混合。,,skipped,題目提到圖片相關內容: 圖中
78,高中化學,物質的組成與形成,物質的分類與分離方法,下面有關物質及原子的概念，那一項敘述是正確的？(A)純物質甲受熱分解產生純物質乙及氣體丙，則物質甲不可能是元素(B)具有物質特性之最小單元是原子(C)由兩種相同元素組成的多種化合物，性質必定相同(D)...,物質性質與分類,matched,
79,高中化學,物質的組成與形成,物質的分類與分離方法,石化煉油工業利用分餾法從原油分離出液化石油氣、汽油、柴油等油料，主要是利用何種物理性質的差異？(A)密度(B)顏色(C)沸點(D)熔點 。《答案》C《解析》分餾是利用各成分的沸點差異來分離混合物的。,蒸餾法,matched,
80,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者不是純物質的特性？(A)有一定的熔點與沸點(B)由單一的元素組成(C)無法用物理方法再分離出本身以外的物質(D)有一定的密度與結構 。《答案》B《解析》化合物中所含元素不只一種。,物質性質與分類,matched,
81,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者是元素單質？(A)石墨(B)海水(C)酒精(D)食鹽 。《答案》A《解析》石墨是碳元素。,物質性質與分類,matched,
82,高中化學,物質的組成與形成,物質的分類與分離方法,下列何者是化合物？(A)氨(B)鐵塊(C)酒(D)鑽石 。《答案》A《解析》鐵、鑽石是元素，酒是混合物。,物質性質與分類,matched,
83,高中化學,物質的組成與形成,物質的分類與分離方法,有關元素及原子的概念，下列哪一項敘述是正確的？(A)純物質甲受熱分解產生物質乙及氣體丙，則甲物質不可能是元素(B)具有物質特性的最小單元是原子(C)由兩種相同元素組成的多種化合物，性質必定相同(D)乾...,物質性質與分類,matched,
84,高中化學,物質的組成與形成,物質的分類與分離方法,大灰球與小白球代表兩種不同的原子，有關甲、乙、丙、丁四者的示意圖所表示的物質，下列敘述何者正確？(A)甲與丁都是元素(B)甲與乙都是溶液(C)乙與丁都是純物質(D)乙與丙都是混合物 。《答案》C《解...,物質性質與分類,matched,
85,高中化學,物質的組成與形成,物質的分類與分離方法,附圖為蒸餾裝置圖，欲以附圖的裝置蒸餾酒精濃度為58％的高粱酒，則下列敘述何者正確？(A)甲處溫度計應深至溶液之中，但不觸及燒瓶底部(B)冷凝管內的冷水應由乙處注入(C)丁處收集到之液體為透明無色，且酒...,,skipped,題目提到圖片相關內容: 圖為
86,高中化學,物質的組成與形成,物質的分類與分離方法,下列各項，何者不是化學變化？(A)石灰岩受熱變成生石灰(B)碘溶於酒精成為碘酊(C)金屬鈉放入水中生氫氣(D)酒精燃燒生成二氧化碳和水 。《答案》B《解析》(A)發生的反應為,物質性質與分類,matched,
87,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關化學變化的敘述，何者錯誤？(A)反應前後分子的總數目保持不變(B)反應前後各種原子的數目變(C)反應前後總質量保持不變(D)反應前後原子的種類維持不變 。《答案》A《解析》化學反應前後原子的種...,,no_match,AI 判斷無匹配的知識點
88,高中化學,物質的組成與形成,物質的分類與分離方法,下列五圖中，小白球代表氦原子，大灰球代表氮原子。那一圖最適合表示1atm、25℃時，氦氣與氮氣混合氣體的狀態？《答案》E《解析》氦氣為He，氮氣為N2，所有的氣體在容器中必定會均勻混合。,,skipped,題目提到圖片相關內容: 圖中
89,高中化學,物質的組成與形成,物質的分類與分離方法,許多人喜歡在夏天到海邊戲水，也會在沙灘玩砂。試問在臺灣沿海的沙灘隨意抓取的一把砂是屬於下列哪一類的物質？(A)元素(B)純物質(C)化合物(D)混合物(E)聚合物 。《答案》D《解析》細沙是由石英、長...,物質性質與分類,matched,
90,高中化學,物質的組成與形成,物質的分類與分離方法,附表中，每一代號各有兩種物質及鑑定方法，則哪些代號中的鑑別方法可適當區別其中之混合物？(A)(丁)(B)(甲)(乙)(C)(甲)(丁)(D)(乙)(丙)(丁)(E)(甲)(乙)(丙)。《答案》D,,no_match,AI 判斷無匹配的知識點
91,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關物質的分類與性質的敘述，何者正確？(A)化合物沒有一定的性質(B)混合物仍具有個別組成物質的特性(C)所有純物質都無法再利用化學方法分解(D)氯化鈉是由鈉元素和氯元素組成，所以是混合物(E)兩...,物質性質與分類,matched,
92,高中化學,物質的組成與形成,物質的分類與分離方法,傳統利用魚網捕魚的方法如下圖，以物質分離技術的觀點來看，與下列何者方式相似？(A)蒸發(B)結晶(C)過濾(D)萃取(E)層析。《答案》C《解析》魚網如同濾紙，顆粒大的物質（魚）被留置在濾紙（魚網）...,,skipped,題目提到圖片相關內容: 下圖
93,高中化學,物質的組成與形成,物質的分類與分離方法,下列各圖代表物質組成的示意圖，原子以圓球示意（相同大小、顏色代表相同原子），若代表的是化合物有 x 種，代表的是混合物有 y 種，則 x、y 依序為何值？(A)1、3(B)2、3(C)2、4(D)3、...,物質性質與分類,matched,
94,高中化學,物質的組成與形成,物質的分類與分離方法,下列有關常見物質分類的敘述，何者正確？(A)純水可經由電解生成氫氣及氧氣，所以不是純物質(B)臭氧分子由三個氧原子組成，所以是化合物(C)食鹽水為氯化鈉溶於純水組成，所以是純物質(D)觀察糖水發現，糖...,物質性質與分類,matched,
