num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
11,7,第一冊,6,清帝國時期社會文化的變遷,1,漢人社會與文教的發展,科舉制度、書院教育,本節探討清帝國時期漢人社會的文化和教育發展。科舉制度作為國家選拔人才的主要途徑，不僅影響了個人的社會階層流動，也深刻地塑造了整個社會的文化價值觀。此外，書院教育在此時期得到了迅速發展，成為學術交流和社會教育的重要渠道，對於文化的傳播和知識的傳承起到了重大作用。通過這一系統，知識的學習和傳播不再僅僅依賴於家庭教育，而是更多地融入了一種制度化的、大眾化的方式，使得文化教育更具廣泛的影響力。
12,7,第一冊,6,清帝國時期社會文化的變遷,2,原住民的社會文化變遷,平埔族群文化漢化、原住民自治權削弱,本節探討清代原住民社會文化的逐漸變遷，主要聚焦在平埔族群的文化漢化以及原住民的自治權逐漸被削弱。首先，隨著漢人移民增多及漢式教育的推行，許多原住民開始融入漢人文化，逐漸改變傳統生活方式，例如語言、服飾及宗教信仰等方面的調整。其次，清朝政府對原住民地區的控制加強，逐步削弱其自治權，並實施一系列政策以穩定邊疆，這些政策包括設立土司制度及改土歸流等。結果，原住民的傳統社會結構受到挑戰，促使其在社會地位和文化特徵上發生顯著變化。
13,7,第二冊,1,日治時期的政治,1,殖民體制的建立,總督權力、警察統治,本節介紹了日治時期臺灣政治體系的形成，強調殖民體制的建立過程與總督的角色。日本政府在佔領臺灣後，迅速建立起以總督為首的中央集權體制，總督擁有行政、司法、立法等大權，這種極權統治使臺灣迅速納入日本的殖民管理框架中。此外，警察制度的發展也是此時期的重要組成部分，警察不僅負責治安，還負責戶籍管理、衛生等事務，警察控制成為實現殖民統治的重要手段。儘管實行嚴格的控制措施，但這些措施為臺灣現代化發展提供了一定的秩序基礎。
14,7,第二冊,1,日治時期的政治,2,日本治臺政策的演變,內地延長主義、武力鎮壓政策,日本治臺政策經歷了多次演變，初期採取武力鎮壓與內地延長主義並行的策略，希望迅速穩定臺灣局勢並推行日本文化及教育。然而，面對臺人反抗及本土環境不同，政策逐漸調整，轉為更為實用且靈活的方法，結合本土治理和文化滲透。後期強調工業化與現代化建設，希望創造經濟利益，同時加強日本文化影響力。整體而言，日本統治政策變化反映出殖民者從武力控制逐步轉向策略性同化，目的在於文化整合與經濟收益最大化。
15,7,第二冊,1,日治時期的政治,3,理藩政策與原住民的對應,理藩政策、原住民對應,本節內容探討了日治時期臺灣的政治，尤其是日本殖民政府對原住民社會的影響與政策取向。在理藩政策下，日本政府採取了多種方針來管理與同化原住民，包括設置理蕃局以施行直接管理，並進行武力討伐和經濟誘導等手段。此外，原住民被迫適應新的政治秩序，傳統生活方式受到影響。這些政策不僅改變了原住民的社會結構，也引發了多次反抗運動。本節對這些政策的背景、實施過程及其影響進行了深入分析，從而突顯其對臺灣原住民社會的長期影響。
16,7,第二冊,2,日治時期的經濟,1,基礎建設,鐵路建設、港口發展,本節介紹了日治時期台灣的基礎建設，其中鐵路建設和港口發展是兩個重要的方面。鐵路的建設不僅提高了台灣的交通運輸效率，促進了內陸地區的經濟發展，同時也加強了不同地區間的聯繫；而港口的發展則提升了台灣的對外貿易能力，進一步將台灣融入全球經濟體系。這些基礎建設的投入不僅是日治時期經濟發展的重要驅動力，也為台灣的長遠發展奠定了重要的技術和設施基礎。
17,7,第二冊,2,日治時期的經濟,2,工業日本，農業臺灣,工業化發展、農業政策,本節主要探討日治時期日本在台灣所推行的經濟政策。當時，日本將台灣定位為農業供應基地，並利用不同的農業政策來提升稻米及甘蔗等作物的產量；同時，日本也開始在台灣發展工業，主要集中在糖業和礦業等資源型工業上。這種策略造成了台灣經濟結構向農業傾斜，而工業則由日本人主導和掌控。透過這些政策，台灣經濟受到了深遠的影響，既激發了台灣經濟潛力，也帶來了社會結構和土地使用的改變。有助於理解日治時期台灣的經濟變遷及影響。
18,7,第二冊,2,日治時期的經濟,3,工業臺灣，農業南洋,工業化政策、外銷導向,本節介紹日治時期的臺灣經濟轉型，尤其是工業化進程。在日本殖民政府推行下，臺灣逐漸從以農業為主的經濟體轉變為工業化的區域。工業化策略著重於開發資源和基礎設施建設，以支持新興工業的發展。例如，臺灣的糖業和米業在此期間取得顯著發展，外銷商品成為經濟的重要組成部分。此外，殖民政府支持南洋農業發展，以利在國際市場上的競爭。因此，理解這一時期的經濟策略可見當時殖民政府如何利用產業政策促進經濟現代化，並為後續臺灣經濟的發展奠定基礎。
19,7,第二冊,3,日治時期的社會與文化,1,差別待遇的現代教育,社會不平等、教育制度改革,日本在台灣統治時期，引進現代教育制度，設立學校分為公學校和小學校，前者主要招收台灣原住民及較低階層的漢族學生，後者則是由日本學生參加，形成明顯的社會不平等。日治時期的台灣教育政策是以殖民為目的，使教育成為統治工具之一，透過語言、文化課程等方式進行思想同化。教育資源的分配不公導致教育機會的不平等，加上語言政策的實施，使得台灣學生無法獲得完整的母語教育，進一步鞏固了殖民統治；整體而言，日治時期的教育制度不但影響了台灣人的知識獲取與文化認同，也對社會分層及價值觀產生了深遠的影響。
20,7,第二冊,3,日治時期的社會與文化,2,文化啟蒙與政治社會運動,台灣文化協會、新民運動,本節探討日治時期台灣的文化啟蒙與政治社會運動，其中特別強調了台灣文化協會在推廣文化啟蒙方面的角色。協會透過報刊、演講等方式激發民眾意識，促進知識交流與文化自覺，扮演啟蒙思想的推手。同時，也介紹了新民運動，即以政治社會運動形式挑戰殖民體制、爭取台灣人民權益的歷史進程。各種運動雖然面對重重阻力，但仍是台灣社會進步的重要推動力。總體而言，文化啟蒙與政治運動在日治時期相互影響，極大地塑造了台灣日後的發展。
21,7,第二冊,3,日治時期的社會與文化,3,新舊文化的變遷,新舊文化碰撞、文化融合與轉型,在日治時期，台灣社會經歷了新舊文化的激烈碰撞，這段期間日本殖民政府推行現代化教育與基礎建設，加速了西方文明和日本文化的引入，促使社會由傳統向現代過渡。在此過程中，傳統漢文化與新式日文化之間產生了顯著的交流與摩擦，舊有的信仰、習俗、語言等面臨挑戰與衝擊，但也形成了文化上的融合與創新。此外，知識分子和社會精英在文化轉型中扮演重要角色，推動現代思想的滲透與傳播，因此這一階段是台灣文化深刻變遷的時期，奠定了現代台灣文化的基礎。
22,7,第二冊,4,戰後臺灣的政治,1,戰後初期與二二八事件,二二八事件、戒嚴時期,戰後初期，臺灣面臨政治與社會的重大轉變。光復後，臺灣由國民政府接管，但由於政治腐敗與經濟困難，加劇了民眾的不滿。1947年2月28日，由於政府的專制與壟斷經濟政策，爆發了「二二八事件」，衝突持續數週，成為臺灣歷史上重要的悲劇事件。此事件後，國民政府加強對臺灣的控制，實施長期戒嚴，限制政治自由。此時期，臺灣的政治環境動盪不安，社會矛盾加劇，奠定了未來政治改革與民主化的重要基礎。
23,7,第二冊,4,戰後臺灣的政治,2,戒嚴體制與白色恐怖,戒嚴體制、白色恐怖,本節探討了戰後臺灣在戒嚴體制下的社會狀況，重點關注戒嚴法的實施對臺灣社會和民眾生活的影響。隨著國民政府遷台，為應對外部威脅和內部不安定因素，戒嚴體制成為社會治理的核心手段，賦予政府更大權力以控制社會和打擊異見人士。這一時期被稱為白色恐怖，因為大量人權侵害事件，包括政治迫害和言論自由受限，部分人士被關押或迫害，對社會造成深遠影響。儘管如此，該體制亦被視為促進經濟發展和維持社會穩定的一部分，然而其負面影響在後續的民主化進程中逐步被揭示與反思。
24,7,第二冊,4,戰後臺灣的政治,3,政治民主化的歷程,政治改良運動、解除戒嚴,本節探討臺灣在解除戒嚴後的政治民主化發展，從1980年代的政治改良運動開始，社會上對民主改革的需求愈發強烈，推動了政治體制的轉變。在當時，台灣面臨內外壓力，要求民主政治的聲音高漲，而戒嚴的解除是民主化進程的一個重要里程碑。隨著政治改良運動的崛起，政府逐步放寬對政治集會和結社的限制，使得更多元的政治聲音能夠被聽到，並且逐漸為臺灣的政治民主化奠定了基礎。
25,7,第二冊,5,戰後臺灣的外交,1,臺灣的對外關係,國際承認問題、外交政策調整,本節主要介紹了二戰結束後臺灣在國際社會中的地位及其外交政策演變。戰後初期，臺灣由中國國民政府接管，隨後中華民國政府遷臺，面臨國際承認的挑戰。1950年代，在美國支持下，臺灣積極維持外交關係，但隨著1971年中華人民共和國在聯合國取得席位，臺灣退出國際組織的地位逐漸下降。為應對國際承認問題，臺灣不斷調整其外交政策，推動務實外交，透過經濟與文化交流維護國際關係。此外，臺灣持續鞏固與少數邦交國的合作，同時發展與非邦交國的實質關係，以維持國際影響力。
26,7,第二冊,5,戰後臺灣的外交,2,臺海兩岸關係的演變,政治互動、經濟交流,本節主要探討自1949年兩岸分治以來，臺海兩岸關係的歷史演變。隨著冷戰結構的改變及中國大陸改革開放政策的推行，兩岸在政治互動和經濟交流方面逐漸出現變化。1980年代末期，兩岸開啟溝通對話，並在1990年代簽署多項協議，促成直航、通商與通郵等三通的部分實現。進入21世紀後，兩岸關係受到多重因素影響，雖有波動但大致在和平穩定中持續推進。本節旨在剖析兩岸關係發展所面臨的機遇及挑戰，並探討未來可能路徑。
27,7,第二冊,6,戰後臺灣的經濟與社會,1,經濟的發展,經濟改革、工業化進程,戰後臺灣經濟的發展主要圍繞著經濟改革與工業化進程。政府在戰後進行一系列經濟改革，解決土地問題，推動農業現代化，並促使工業化進程加速。隨著美援的引入，以及政府的外匯管制與稅制改革，臺灣的經濟體系得以架構完善。這些政策不僅奠定了臺灣經濟的穩定基礎，也促進了出口導向的工業經濟。其次，熱衷於製造業的政府提供各種經濟優惠，吸引外資，形成臺灣經濟快速發展的奇蹟。整體來看，臺灣在戰後成功完成了從農業社會到工業社會的轉變。
28,7,第二冊,6,戰後臺灣的經濟與社會,2,社會與文化的變遷,社會現代化、文化多元化,戰後臺灣的社會發展經歷了從農業社會向工業化與現代化社會的轉變。經濟發展帶動了社會現代化，都市化進程加快，人們生活方式逐漸由傳統轉向現代，這包括家庭結構的變化與職業選擇的多元化。同時，教育的普及和社會流動性增強也促使了社會階層的變遷。臺灣在這段時間裡逐步建立了社會保障體系，改善民生與提高生活品質。此外，戰後的經濟繁榮吸引了不同族群移民勞工，形成了文化多元化的社會結構，進一步推動了文化的互融與交流，豐富了臺灣的文化圖景。
29,8,第三冊,1,商周至隋唐時期的國家與社會,1,封建的形成與瓦解,封建制度、多國分裂,本節探討了從商周至隋唐時期封建制度的形成、演變及其瓦解的過程。首先，封建制度在西周時期初步形成，這是一種基於血緣關係的政治制度，用於加強中央對地方的控制。各地諸侯獲得土地與軍隊，但需向天子效忠。這些封建國家的權力分配方式在周朝後期逐漸導致地方實力增強，中央政權削弱。隨著春秋戰國時期的多國分裂，封建制度受到了極大的挑戰，最終在秦漢時期被郡縣制取代。總之，封建制度的發展與衰亡展現了中國古代政治制度的演變。
30,8,第三冊,1,商周至隋唐時期的國家與社會,2,帝國的分合與政權維繫,封建制度、分封與郡縣制,帝國的分合與政權維繫這一節旨在探討從商周時期到隋唐時期中國帝國的政治架構與演變過程。首先，封建制度是商周時期的核心政治體制，透過分封諸侯的方式來維繫中央與地方的紐帶。然而，這一制度逐漸顯露出其缺陷，特別是在地方諸侯強大後對中央權威的威脅。相對應地，郡縣制自秦朝起開始逐步取代封建制度，這是一項重大政治改革，旨在鞏固中央集權體制，並確保地方與中央直接相聯。因此，封建制度的演變、分封與郡縣制成為理解帝國政權維繫的重要知識點，這也為隋唐時期更完善的行政體制奠定基礎。整體來說，本節揭示了帝國統治結構在歷史長河中的演進，從而影響後世。
31,8,第三冊,2,商周至隋唐時期的民族與文化,1,商周至隋唐的民族關係,華夏族與周邊民族互動關係、民族融合與文化交流,本節主要探討從商周到隋唐時期，華夏民族與周邊少數民族之間的互動關係。隨著中原地區政權的更迭，各民族間的關係也在不斷變化。早期，商周時期華夏族主要以軍事征服及貢納體系管理周邊民族，隨著漢代的強盛，漢族與匈奴及周邊西域民族的關係進一步發展，通過絲綢之路促進了文化交流及經濟繁榮。隋唐時期，由於國力的穩定增強，華夏族開始實行開放的民族政策，加強與西域、草原民族的聯繫，這不僅促進了彼此之間的融合，也在文化、宗教、技術等方面形成了廣泛而深刻的交流，對中國的統一及多元文化的形成具有深遠影響。這些歷史階段的民族互動不僅影響中國的歷史進程，亦為現代提供了重要的多民族和平共處的參考。
32,8,第三冊,2,商周至隋唐時期的民族與文化,2,各民族文化的交流與影響,多元文化交流、民族融合,本節介紹了從商周至隋唐時期各民族之間的文化交流與影響。商周時期，中原地區與周邊民族的接觸已經開始，這種交流在春秋戰國時期更加密切，秦漢時期建立了開闊的貿易道路。隋唐時期則是文化交融的巔峰，各民族在思想、藝術、科技等方面相互借鑒，共同繁榮，促成了中華文化的多樣性和豐富性。這種交流不僅促進了各民族的發展，也為後世的文化融合奠定了基礎。學習本節內容有助於了解中國歷史上的民族互動及其對文化發展的長遠影響。
33,8,第三冊,3,宋元多民族並立的時期,1,宋元時期國際的對抗與征服,經濟文化交流、蒙古西征,宋元時期，經濟文化交流顯著發展。宋朝的經濟雖遭外族威脅，但因科技和貿易的進步，仍在國際上扮演重要角色。尤其與周邊國家密切交流，不僅促進了商品流通，還帶來文化技術的互補和提升。另一方面，元朝的建立是蒙古西征的結果，成吉思汗及其後繼者推動的擴張政策，使疆域擴大，形成龐大的帝國版圖，甚至影響到歐洲和中東等地。這一時期不同民族文化的交融與對抗，為後續的政治格局和經濟往來打下基礎。整個時期的國際對抗與征服，深刻影響了中國及周邊地區社會結構的變遷。
34,8,第三冊,3,宋元多民族並立的時期,2,宋元時期的經濟貿易,商業繁榮、城市發展,宋元時期經濟貿易發展迅速，特別是在南宋和元朝，隨著商品經濟的活躍，城市化進程加速，出現了許多繁華的大城市，如臨安、杭州等，這些城市不僅是政治和文化中心，亦是經濟交易的樞紐。絲綢、瓷器等成為重要的出口商品，促進了對外貿易的繁榮。此外，由於海運技術的進步，海上貿易較以往更加發達，形成以中國為中心的國際貿易網絡。此外，金融市場的發展亦值得注意，商業信用及紙幣出現，表明經濟體系日益複雜，進一步助推了經濟發展，影響深遠。
35,8,第三冊,3,宋元多民族並立的時期,3,宋元時期的文化交流,市舶司、四大發明,宋元時期是中國多民族文化交流的重要階段，此時各種文化在交流和碰撞中相互融滙，形成了具有豐富多樣性的文化景觀。在海上和陸上絲綢之路的推動下，宋元成為世界經濟的一個重要樞紐，市舶司等機構的設立促進了中外貿易往來。這一時期的科技與文化發展尤為突出，四大發明之一的印刷術在宋朝得到改進，對知識的傳播影響深遠。此外，儒學與佛教、道教融匯，形成了新的社會思想體系，豐富了中國及周邊地區的文化面貌。
36,8,第三冊,4,明清時期東亞世界的變動,1,明清帝國的建立與擴張,明朝的建立與擴張、清朝的建立與擴張,本節介紹了明朝和清朝在東亞地區的建立與擴張過程。首先，明朝由朱元璋建立，推翻了元朝的統治，並通過一系列的軍事和政治措施來穩固政權和擴張領土。在此過程中，明朝還進行了海禁政策和中央集權的政策改革。其後，清朝由滿族人建立，通過入關和封建制度的整合來鞏固統治地位。清朝在康熙、乾隆等皇帝的治理下進一步擴大了版圖，進行了多次的對外征戰及與周邊國家的外交往來，促使東亞地區的政治格局發生顯著變化。整節內容對明清兩朝的崛起及其對東亞影響的探討，展示了此時期的政權軍事與外交策略以及文化交流。
37,8,第三冊,4,明清時期東亞世界的變動,2,明清的經濟與全球貿易,經濟改革與貿易擴張、全球貿易體系建立,明清時期，隨著政治穩定和經濟政策的改革，東亞地區的經濟迅速發展。明朝中期開始出現一系列經濟改革，尤其是“一條鞭法”的推行，使得稅制更加合理並促使資本的積累和流動。清朝時期，全球貿易體系逐步建立，歐洲的殖民擴張和貿易擴張使中國卷入了全球貿易之中，尤其是與西班牙和葡萄牙等國的海上交易，促成了白銀經濟的繁榮。這一時期，絲綢、茶葉和瓷器等產品流通至世界各地，使東亞文化和產品融入全球市場，進一步推動了經濟的國際化和貿易的持續繁榮。
38,8,第三冊,4,明清時期東亞世界的變動,3,東亞世界與西方的文化交流,西學東漸、文化互鑑,本節探討明清時期東亞與西方在文化上的交流與互動，這一時期西學東漸成為重要特點。耶穌會士如利瑪竇等人進入中國，推動天主教傳播的同時，他們也帶來了西方的科學技術和文化思想，對中國的學術界和社會造成了影響。另一方面，中國的儒學、藝術和技術也傳入歐洲，促成了雙方的文化互鑑。這種文化交融促進了中西雙方的知識更新與社會變革，形成了豐富多彩的文化歷史畫卷，為全球化交流提供了早期範例。
39,8,第三冊,5,西方衝擊下的東亞世界,1,西方對東亞世界的衝擊,工業革命、通商條約,19世紀中期，隨著工業革命的推進，西方列強加快了對外擴張的步伐，對東亞世界帶來了深遠的影響。西方國家以其技術優勢和工業產出，迫使中國和日本等東亞國家開放市場和簽訂不平等的通商條約。在這一過程中，西方的技術、思想和制度傳入東亞，對東亞的政治、經濟和社會產生了巨大的影響。在工業化和現代化的需求下，東亞各國被迫進行一系列的改革，以應對西方國家的威脅，從而在政治體制和經濟結構上出現了一定程度的變革。這一時期，東亞各國的對外政策和內部改革策略深受西方影響，並試圖在接受西方技術和思想的同時，保持本國的文化與傳統。
40,8,第三冊,5,西方衝擊下的東亞世界,2,中日對西方衝擊的回應,西方衝擊、改革應對,本節主要探討19世紀中葉以來，西方殖民主義的擴張對東亞地區，中國與日本的影響，以及兩國在面對這種衝擊時採取的不同應對策略。中國在鸦片战争後遭受嚴重的主權侵害，內部矛盾激化，導致自強運動的興起，但效果有限。日本則通過明治維新迅速現代化，推動政治、經濟和軍事改革，成為亞洲首個工業化國家。這段歷史凸顯出兩國在遭遇外來壓力時的不同選擇所帶來的歷史後果，強調了改革與開放在國家發展中的重要性。
41,8,第三冊,5,西方衝擊下的東亞世界,3,甲午戰爭後的變局,甲午戰爭、列強瓜分東亞,甲午戰爭後，東亞局勢發生重大變化。清朝慘敗於日本，導致《馬關條約》的簽訂，不僅賠款巨大，更失去臺灣等重要領土。此事件震撼中韓兩國，加速了社會改良的呼聲。日本則藉此迅速崛起，挑戰傳統列強地位。各國列強見中國虛弱，更積極尋求在華利益，形成瓜分勢態。中國內部隨之出現了一系列變局，如戊戌變法等改革嘗試，儘管最終未能成功，但激發了後續的改革運動，對東亞政治格局產生深遠影響。
42,8,第三冊,6,晚清社會文化的調適與變遷,1,城市風貌與新媒體,城市化進程、新媒體興起,本節介紹了晚清時期城市化進程的加速，帶來城市風貌的顯著轉變。隨著經濟的發展和社會的變遷，城市中心逐漸成為商業和文化的核心。同時，新媒體的興起，如報刊、雜誌等，對社會文化產生了深遠影響，促進了信息傳播和社會變革。這些新媒體不僅是知識傳遞的重要渠道，還促進了社會的開放和思想的解放，成為推動晚清時期文化變遷的重要力量。通過對城市風貌和新媒體的分析，揭示了這一時期社會文化調適的特點與趨勢。
43,8,第三冊,6,晚清社會文化的調適與變遷,2,家族與婦女角色的轉變,家族結構變遷、婦女社會地位提升,本節探討晚清時期家族結構及婦女角色的重大變遷，隨著社會文化的調適，宗族制逐漸解體，核心家庭形式崛起，經濟壓力與城市化促進家庭結構的小型化。同時，外部影響如西方思想的引入促使婦女逐漸突破傳統角色束縛，接受教育和參與社會活動，女權思想萌芽，婦女在家庭及社會中的地位逐步提升，這些變化為日後中國婦女運動奠定基礎，反映了變遷中的晚清社會在面對內外挑戰時的適應能力與努力。
44,8,第四冊,1,中華民國的建立,1,帝國崩解與民國的建立,帝國崩解、中華民國成立,辛亥革命是中國近代歷史的一個重要轉折點，標誌著清朝帝制的最終崩解及中華民國的成立。清王朝統治的腐朽和無能激發了廣泛的改革及革命運動，其中以孫中山為首的革命黨人發起了一系列武裝起義。這些努力最終促成了1911年10月10日的武昌起義，之後革命風潮迅速擴展至全國，導致清朝滅亡。隨後，中華民國於1912年1月1日正式宣告成立，成為亞洲第一個民主共和國，推翻了延續兩千餘年的帝制，為中國的現代化開創了新局面。然而，重建國家的任務異常艱巨，新政權面臨政治、經濟和社會等多重挑戰，特別是在统一與改革之间的权力斗争仍持续存在。
45,8,第四冊,1,中華民國的建立,2,袁世凱與洪憲帝制,善後大借款、洪憲帝制,本節探討了袁世凱在辛亥革命後的政治動作及其對中華民國的影響。首先，袁世凱為了鞏固政權，從國外籌措善後大借款，使得政府財政依賴外國勢力，加深了中國的半殖民地化。此外，袁世凱意圖恢復帝制，成立洪憲帝制，以期重建中央集權，但遭到全國範圍的強烈反對，最終導致帝制失敗。袁世凱的行動引發了國內嚴重的政治動盪，不僅破壞了新生共和國的民主基礎，也引起軍閥割據的局面。這一時期的政治動盪，為後來北洋政府的不穩定埋下伏筆。
46,8,第四冊,1,中華民國的建立,3,軍閥統治與南北分裂,割據軍閥、南北議和,本節探討中華民國建立後面臨的內部分裂與軍閥割據現象。辛亥革命推翻清王朝後，中華民國成立，但全國並未形成統一的政治體制，地方實力派人物紛紛擁兵自重，形成軍閥割據的局面。北洋軍閥崛起，南北議和成為常態。然而，軍閥之間為爭奪權力，發生了多次武力衝突，削弱了國家的政治和經濟實力。不同的軍閥甚至各自建立區域性政府，形成彼此對峙、不相統屬的局面，成為1920年代以後中國面臨的主要挑戰之一。這一時期的軍閥政治，對中華民國的政治發展產生了深遠的影響，並為後來的國共合作和抗戰背景鋪設了歷史基礎。
47,8,第四冊,2,舊傳統與新思潮,1,新文化運動,民主、科學,新文化運動是中國現代化進程中的一次重要文化創新，它始於1910年代，旨在推動民主與科學兩大核心價值。該運動批判舊傳統，尤其是儒家思想，希望建立一個更加理性和公平的社會。運動推動文學革命，提倡使用白話文，以提高全民教育水平。新文化運動還促使民眾以批判視角重新審視自身文化和價值，進而促進思想的解放和變革。儘管其遭遇到保守勢力的阻力，但對後續的五四運動及整個中國現代化進程產生了深遠影響，成為20世紀中國社會變革的奠基石。
