關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
74,8,第四冊,3,電解質與酸鹼鹽,4,酸鹼中和反應,常見鹽類、酸鹼中和計算,酸鹼中和反應-2,215
75,8,第四冊,3,電解質與酸鹼鹽,0,章節總複習,章節所有知識點,電解質與酸鹼鹽 （全）-1,216
76,8,第四冊,3,電解質與酸鹼鹽,0,章節總複習,章節所有知識點,電解質與酸鹼鹽 （全）-2,217
77,8,第四冊,4,反應速率與平衡,1,反應速率,反應速率定義、影響反應速率的因素、催化劑,反應速率,218
78,8,第四冊,4,反應速率與平衡,2,可逆反應與平衡,可逆反應、動態平衡、影響平衡的因素,可逆反應與平衡,219
79,8,第四冊,4,反應速率與平衡,0,章節總複習,章節所有知識點,反應速率與平衡 （全）-1,220
80,8,第四冊,4,反應速率與平衡,0,章節總複習,章節所有知識點,反應速率與平衡 （全）-2,221
81,8,第四冊,5,有機化合物,1,認識有機化合物,有機化合物定義、有機化合物的種類、天然氣與液化石油氣,認識有機化合物,222
82,8,第四冊,5,有機化合物,2,常見的有機化合物,同分異構物、烴類、醇類,常見的有機化合物-1,223
83,8,第四冊,5,有機化合物,2,常見的有機化合物,有機酸、酯類,常見的有機化合物-2,224
84,8,第四冊,5,有機化合物,3,聚合物與衣料纖維,聚合物、聚合物種類、衣料纖維,聚合物與衣料纖維,225
85,8,第四冊,5,有機化合物,4,有機物在生活中的應用,肥皂與清潔劑、皂化反應,有機物在生活中的應用,226
86,8,第四冊,5,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-1,227
87,8,第四冊,5,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-2,228
88,8,第四冊,6,力與壓力,1,力與平衡,力的種類、力的單位、力的三要素,力與平衡-1,229
89,8,第四冊,6,力與壓力,1,力與平衡,兩力平衡、力的測量,力與平衡-2,230
90,8,第四冊,6,力與壓力,2,摩擦力,摩擦力、影響摩擦力的因素,摩擦力-1,231
91,8,第四冊,6,力與壓力,2,摩擦力,動摩擦力、靜摩擦力,摩擦力-2,232
92,8,第四冊,6,力與壓力,3,壓力,壓力、固體壓力,壓力-1,233
93,8,第四冊,6,力與壓力,3,壓力,液體壓力、氣壓,壓力-2,234
94,8,第四冊,6,力與壓力,4,浮力,浮力、液體中的沉浮、浮力的應用,浮力,235
95,8,第四冊,6,力與壓力,0,章節總複習,章節所有知識點,力與壓力 （全）-1,236
96,8,第四冊,6,力與壓力,0,章節總複習,章節所有知識點,力與壓力 （全）-2,237
97,9,第五冊,1,直線運動,1,單擺的等時性,時間的單位、單擺、等時性,單擺的等時性,238
98,9,第五冊,1,直線運動,2,位移與路徑長,位置、位移、路徑長,位移與路徑長,239
99,9,第五冊,1,直線運動,3,速率與速度,速率、速度、等速運動,速率與速度,240
100,9,第五冊,1,直線運動,4,加速度,加速度、等加速度運動,加速度,241
101,9,第五冊,1,直線運動,0,章節總複習,章節所有知識點,直線運動 （全）-1,242
102,9,第五冊,1,直線運動,0,章節總複習,章節所有知識點,直線運動 （全）-2,243
103,9,第五冊,2,力與運動,1,牛頓第一運動定律,牛頓第一運動定律,牛頓第一運動定律,244
104,9,第五冊,2,力與運動,2,牛頓第二運動定律,牛頓第二運動定律,牛頓第二運動定律,245
105,9,第五冊,2,力與運動,3,牛頓第三運動定律,牛頓第三運動定律,牛頓第三運動定律,246
106,9,第五冊,2,力與運動,4,圓周運動和萬有引力,萬有引力、圓周運動,圓周運動和萬有引力,247
107,9,第五冊,2,力與運動,0,章節總複習,章節所有知識點,力與運動 （全）-1,248
108,9,第五冊,2,力與運動,0,章節總複習,章節所有知識點,力與運動 （全）-2,249
109,9,第五冊,3,功與能,1,功與功率,功的定義、功與能的關係、功率,功與功率,250
110,9,第五冊,3,功與能,2,動能、位能與能量守恆,動能、位能、力學能守恆,動能、位能與能量守恆,251
111,9,第五冊,3,功與能,3,力矩,力矩、功和力矩的比較、靜力平衡,力矩,252
112,9,第五冊,3,功與能,4,簡單機械,機械、機械性質、輪軸,簡單機械-1,253
113,9,第五冊,3,功與能,4,簡單機械,滑輪、斜面、螺旋,簡單機械-2,254
114,9,第五冊,3,功與能,0,章節總複習,章節所有知識點,功與能 （全）-1,255
115,9,第五冊,3,功與能,0,章節總複習,章節所有知識點,功與能 （全）-2,256
116,9,第五冊,4,電學,1,靜電,靜電、庫侖定律、摩擦起電,靜電-1,257
117,9,第五冊,4,電學,1,靜電,接觸起電、感應起電,靜電-2,258
118,9,第五冊,4,電學,2,電路與電壓,基本電路、電壓,電路與電壓,259
119,9,第五冊,4,電學,3,電流,電流、電流測量、電壓測量,電流,260
120,9,第五冊,4,電學,4,電阻,電阻、歐姆定率、電阻計算,電阻,261
121,9,第五冊,4,電學,0,章節總複習,章節所有知識點,電學 （全）-1,262
122,9,第五冊,4,電學,0,章節總複習,章節所有知識點,電學 （全）-2,263
123,9,第六冊,1,電流的化學效應,1,伏打電池,電池結構、伏打電池、電極判斷,伏打電池,264
124,9,第六冊,1,電流的化學效應,2,生活中的電池,一次電池、二次電池,生活中的電池-1,265
125,9,第六冊,1,電流的化學效應,2,生活中的電池,鋰電池、鉛蓄電池,生活中的電池-2,266
126,9,第六冊,1,電流的化學效應,3,電流的化學效應,電解、電鍍,電流的化學效應,267
127,9,第六冊,1,電流的化學效應,0,章節總複習,章節所有知識點,電流的化學效應 （全）-1,268
128,9,第六冊,1,電流的化學效應,0,章節總複習,章節所有知識點,電流的化學效應 （全）-2,269
129,9,第六冊,2,電流的熱效應,1,電流的熱效應,電熱效應,電流的熱效應,270
130,9,第六冊,2,電流的熱效應,2,電與生活,電功率、能源分類、發電,電與生活-1,271
131,9,第六冊,2,電流的熱效應,2,電與生活,生活用電、用電安全,電與生活-2,272
132,9,第六冊,2,電流的熱效應,0,章節總複習,章節所有知識點,電流的熱效應 （全）-1,273
133,9,第六冊,2,電流的熱效應,0,章節總複習,章節所有知識點,電流的熱效應 （全）-2,274
134,9,第六冊,3,電流的磁效應,1,磁鐵與磁場,磁鐵、磁場,磁鐵與磁場-1,275
135,9,第六冊,3,電流的磁效應,1,磁鐵與磁場,磁力線、磁化,磁鐵與磁場-2,276
136,9,第六冊,3,電流的磁效應,2,電流磁效應,電流磁效應、安培右手,電流磁效應,277
137,9,第六冊,3,電流的磁效應,3,電磁鐵、電動機與電話,右手開掌定則、電磁鐵,電磁鐵、電動機與電話-1,278
138,9,第六冊,3,電流的磁效應,3,電磁鐵、電動機與電話,電動機、電話,電磁鐵、電動機與電話-2,279
139,9,第六冊,3,電流的磁效應,4,電磁感應,電磁感應、發電機、變壓器,電磁感應,280
140,9,第六冊,3,電流的磁效應,0,章節總複習,章節所有知識點,電流的磁效應 （全）-1,281
141,9,第六冊,3,電流的磁效應,0,章節總複習,章節所有知識點,電流的磁效應 （全）-2,282
