關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
27,10,必修,3,水溶液中的反應,3,溶解度,溶解度、溶液狀態與平衡、溶解度影響因素,溶解度-1,2361
28,10,必修,3,水溶液中的反應,3,溶解度,溶解速率、再結晶、溶液濃度計算,溶解度-2,2362
29,10,必修,3,水溶液中的反應,4,酸鹼反應,pH值與溶液酸鹼性判斷、酸鹼通性與分類、酸鹼中和反應,酸鹼反應-1,2363
30,10,必修,3,水溶液中的反應,4,酸鹼反應,酸鹼計算與稀釋、水的解離與離子積常數,酸鹼反應-2,2364
31,10,必修,3,水溶液中的反應,5,氧化與還原反應,氧化還原反應原理、氧化劑與還原劑、氧化還原反應判斷,氧化與還原反應-1,2365
32,10,必修,3,水溶液中的反應,5,氧化與還原反應,金屬活性序列、氧化還原反應應用,氧化與還原反應-2,2366
33,10,必修,3,水溶液中的反應,0,章節總複習,章節所有知識點,水溶液中的反應 （全）-1,2367
34,10,必修,3,水溶液中的反應,0,章節總複習,章節所有知識點,水溶液中的反應 （全）-2,2368
35,10,必修,4,生活中的化學,1,生物體中的分子,醣類、蛋白質、核酸,生物體中的分子-1,2369
36,10,必修,4,生活中的化學,1,生物體中的分子,脂質、水解反應,生物體中的分子-2,2370
37,10,必修,4,生活中的化學,2,藥品與界面活性劑,清潔劑、藥物、生物大分子,藥品與界面活性劑,2371
38,10,必修,4,生活中的化學,3,新興能源與永續發展,能源種類與特性、能量轉換、綠色化學,新興能源與永續發展-1,2372
39,10,必修,4,生活中的化學,3,新興能源與永續發展,環境影響與永續發展、能量守恆定律,新興能源與永續發展-2,2373
40,10,必修,4,生活中的化學,4,環境與化學,水質淨化、硬水軟化、溫室效應,環境與化學-1,2374
41,10,必修,4,生活中的化學,4,環境與化學,酸雨、臭氧層、空氣汙染物,環境與化學-2,2375
42,10,必修,4,生活中的化學,5,化學在先進科技發展的應用,奈米材料、奈米碳管、光觸媒,化學在先進科技發展的應用-1,2376
43,10,必修,4,生活中的化學,5,化學在先進科技發展的應用,同素異形體、半導體材料、能源科技,化學在先進科技發展的應用-2,2377
44,10,必修,4,生活中的化學,0,章節總複習,章節所有知識點,生活中的化學 （全）-1,2378
45,10,必修,4,生活中的化學,0,章節總複習,章節所有知識點,生活中的化學 （全）-2,2379
46,11,選修一,1,化學計量與反應熱,1,化學反應式的平衡及應用,氧化數計算與判斷、化學反應式平衡,化學反應式的平衡及應用-1,2380
47,11,選修一,1,化學計量與反應熱,1,化學反應式的平衡及應用,化學計量、氧化還原反應,化學反應式的平衡及應用-2,2381
48,11,選修一,1,化學計量與反應熱,2,化學反應中的能量變化,反應熱、熱化學方程式、熱化學計量,化學反應中的能量變化-1,2382
49,11,選修一,1,化學計量與反應熱,2,化學反應中的能量變化,電化學電池、實驗與應用,化學反應中的能量變化-2,2383
50,11,選修一,1,化學計量與反應熱,3,赫斯定律,赫斯定律、反應熱、莫耳生成熱,赫斯定律-1,2384
51,11,選修一,1,化學計量與反應熱,3,赫斯定律,莫耳燃燒熱、熱化學方程式,赫斯定律-2,2385
52,11,選修一,1,化學計量與反應熱,0,章節總複習,章節所有知識點,化學計量與反應熱 （全）-1,2386
53,11,選修一,1,化學計量與反應熱,0,章節總複習,章節所有知識點,化學計量與反應熱 （全）-2,2387
54,11,選修一,2,氣體,1,氣體的性質,氣體通性、氣體壓力與測量、氣體製備與收集,氣體的性質,2388
55,11,選修一,2,氣體,2,氣體的基本定律,波以耳定律、查理定律、亞佛加厥定律,氣體的基本定律-1,2389
56,11,選修一,2,氣體,2,氣體的基本定律,氣體分子運動論、氣體反應計量、壓力測量與計算,氣體的基本定律-2,2390
57,11,選修一,2,氣體,3,理想氣體,理想氣體方程式、理想氣體性質與真實氣體偏差、分壓定律與混合氣體,理想氣體-1,2391
58,11,選修一,2,氣體,3,理想氣體,壓力測量與換算、飽和蒸氣壓與相變化,理想氣體-2,2392
59,11,選修一,2,氣體,4,氣體的分壓,道耳頓分壓定律、理想氣體定律及應用、飽和蒸氣壓與氣體收集,氣體的分壓-1,2393
60,11,選修一,2,氣體,4,氣體的分壓,氣體化學反應與壓力變化、混合氣體性質計算,氣體的分壓-2,2394
61,11,選修一,2,氣體,0,章節總複習,章節所有知識點,氣體 （全）-1,2395
62,11,選修一,2,氣體,0,章節總複習,章節所有知識點,氣體 （全）-2,2396
63,11,選修一,3,溶液的性質,1,物質的狀態,相圖與物質三態、相變化與熱學、氣體溶解度,物質的狀態-1,2397
64,11,選修一,3,溶液的性質,1,物質的狀態,離子沉澱反應、液晶材料,物質的狀態-2,2398
65,11,選修一,3,溶液的性質,2,溶液中的溶解特性,沉澱反應與離子鑑定、亨利定律與氣體溶解度、溶液依數性質,溶液中的溶解特性-1,2399
66,11,選修一,3,溶液的性質,2,溶液中的溶解特性,離子共存與分離、溶液通性與鑑別,溶液中的溶解特性-2,2400
67,11,選修一,3,溶液的性質,3,物質的蒸氣壓,飽和蒸氣壓、拉午耳定律、理想溶液,物質的蒸氣壓-1,2401
68,11,選修一,3,溶液的性質,3,物質的蒸氣壓,相對溼度、沸點,物質的蒸氣壓-2,2402
69,11,選修一,3,溶液的性質,3,物質的蒸氣壓,分子間作用力、溶液濃度,物質的蒸氣壓-3,2403
70,11,選修一,3,溶液的性質,4,溶液的依數性質,依數性質、依數性質計算、依數性質應用,溶液的依數性質-1,2404
71,11,選修一,3,溶液的性質,4,溶液的依數性質,相變曲線判讀、分子量異常現象,溶液的依數性質-2,2405
72,11,選修一,3,溶液的性質,0,章節總複習,章節所有知識點,溶液的性質 （全）-1,2406
73,11,選修一,3,溶液的性質,0,章節總複習,章節所有知識點,溶液的性質 （全）-2,2407
74,11,選修二,1,原子結構與週期表,1,原子結構與氫原子光譜,氫原子光譜、電子能階躍遷、原子模型,原子結構與氫原子光譜-1,2408
75,11,選修二,1,原子結構與週期表,1,原子結構與氫原子光譜,電磁波性質、芮得柏公式、游離能,原子結構與氫原子光譜-2,2409
76,11,選修二,1,原子結構與週期表,2,原子軌域,原子軌域概念、量子數、原子軌域類型與構造,原子軌域-1,2410
77,11,選修二,1,原子結構與週期表,2,原子軌域,原子軌域能階、電子填入原則、光譜與能階躍遷,原子軌域-2,2411
78,11,選修二,1,原子結構與週期表,3,電子組態,電子組態、電子填充規則、原子軌域特性,電子組態-1,2412
79,11,選修二,1,原子結構與週期表,3,電子組態,週期表位置與化學性質、未成對電子數量、電子躍遷與能量變化,電子組態-2,2413
80,11,選修二,1,原子結構與週期表,4,原子性質與週期性,元素週期表特性、原子離子半徑、游離能,原子性質與週期性-1,2414
81,11,選修二,1,原子結構與週期表,4,原子性質與週期性,電負度、電子組態,原子性質與週期性-2,2415
82,11,選修二,1,原子結構與週期表,0,章節總複習,章節所有知識點,原子結構與週期表 （全）-1,2416
83,11,選修二,1,原子結構與週期表,0,章節總複習,章節所有知識點,原子結構與週期表 （全）-2,2417
84,11,選修二,2,化學鍵,1,離子鍵與金屬鍵,化學鍵、晶體類型、熔點,離子鍵與金屬鍵-1,2418
85,11,選修二,2,化學鍵,1,離子鍵與金屬鍵,導電性、晶體結構、電子組態,離子鍵與金屬鍵-2,2419
86,11,選修二,2,化學鍵,2,共價鍵,混成軌域、σ鍵與π鍵、鍵長,共價鍵-1,2420
87,11,選修二,2,化學鍵,2,共價鍵,鍵能、共振結構,共價鍵-2,2421
88,11,選修二,2,化學鍵,2,共價鍵,化學鍵種類、分子幾何與鍵角,共價鍵-3,2422
89,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,VSEPR理論、混成軌域、鍵角,價殼層電子對互斥理論與分子形狀-1,2423
90,11,選修二,2,化學鍵,3,價殼層電子對互斥理論與分子形狀,分子極性、分子間作用力、化學鍵特性,價殼層電子對互斥理論與分子形狀-2,2424
91,11,選修二,2,化學鍵,4,分子極性與分子間作用力,分子結構與極性、分子間作用力,分子極性與分子間作用力-1,2425
92,11,選修二,2,化學鍵,4,分子極性與分子間作用力,熔沸點與溶解度、化學鍵與晶體類型,分子極性與分子間作用力-2,2426
93,11,選修二,2,化學鍵,0,章節總複習,章節所有知識點,化學鍵 （全）-1,2427
94,11,選修二,2,化學鍵,0,章節總複習,章節所有知識點,化學鍵 （全）-2,2428
95,11,選修二,3,反應速率定律,1,化學反應速率與表示法,反應速率定義與表示、反應速率測量方法、反應級數,化學反應速率與表示法-1,2429
96,11,選修二,3,反應速率定律,1,化學反應速率與表示法,速率定律與速率常數、半生期與放射性衰變、氣相反應速率與壓力關係,化學反應速率與表示法-2,2430
97,11,選修二,3,反應速率定律,2,化學反應的模型,碰撞學說、活化能、反應位能圖,化學反應的模型-1,2431
98,11,選修二,3,反應速率定律,2,化學反應的模型,反應熱、有效碰撞位向,化學反應的模型-2,2432
99,11,選修二,3,反應速率定律,2,化學反應的模型,活化複合體,化學反應的模型-3,2433
100,11,選修二,3,反應速率定律,3,影響反應速率的因素,催化劑、分子動能分布、反應速率常數,影響反應速率的因素-1,2434
101,11,選修二,3,反應速率定律,3,影響反應速率的因素,反應物濃度、反應物表面積、反應物本性,影響反應速率的因素-2,2435
102,11,選修二,3,反應速率定律,0,章節總複習,章節所有知識點,反應速率定律 （全）-1,2436
103,11,選修二,3,反應速率定律,0,章節總複習,章節所有知識點,反應速率定律 （全）-2,2437
104,12,選修三,1,化學平衡,1,化學平衡與平衡常數,化學平衡特徵、平衡常數表示法與性質、Kp與Kc關係,化學平衡與平衡常數-1,2438
105,12,選修三,1,化學平衡,1,化學平衡與平衡常數,平衡常數運算、反應商與平衡方向,化學平衡與平衡常數-2,2439
106,12,選修三,1,化學平衡,1,化學平衡與平衡常數,化學平衡計算、勒沙特列原理,化學平衡與平衡常數-3,2440
107,12,選修三,1,化學平衡,2,平衡的移動,勒沙特列原理、濃度、壓力,平衡的移動-1,2441
108,12,選修三,1,化學平衡,2,平衡的移動,溫度、平衡常數、催化劑,平衡的移動-2,2442
109,12,選修三,1,化學平衡,3,溶解度平衡,溶度積、同離子效應、沉澱判斷與分離,溶解度平衡-1,2443
110,12,選修三,1,化學平衡,3,溶解度平衡,化學平衡、化學計量,溶解度平衡-2,2444
111,12,選修三,1,化學平衡,0,章節總複習,章節所有知識點,化學平衡 （全）-1,2445
112,12,選修三,1,化學平衡,0,章節總複習,章節所有知識點,化學平衡 （全）-2,2446
113,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,1,布-洛酸鹼理論,布-洛酸鹼學說、共軛酸鹼對,布-洛酸鹼理論-1,2447
114,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,1,布-洛酸鹼理論,酸鹼強度、兩性物質,布-洛酸鹼理論-2,2448
115,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,2,溶液的酸鹼度,酸鹼性質與分類、解離平衡與常數、水溶液離子濃度與pH值,溶液的酸鹼度-1,2449
116,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,2,溶液的酸鹼度,解離度與影響因素、多質子酸鹼,溶液的酸鹼度-2,2450
117,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,3,鹽的命名與水解,鹽類命名與分類、鹽類水解與酸鹼性、酸鹼解離常數與平衡,鹽的命名與水解-1,2451
118,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,3,鹽的命名與水解,酸鹼滴定與指示劑、緩衝溶液,鹽的命名與水解-2,2452
119,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,4,緩衝溶液,緩衝溶液組成與配製、緩衝作用原理與效果、緩衝溶液pH計算,緩衝溶液,2453
120,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,5,酸鹼滴定,酸鹼滴定原理、滴定曲線、酸鹼指示劑,酸鹼滴定-1,2454
121,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,5,酸鹼滴定,滴定計算、滴定實驗操作與儀器、溶液酸鹼性判斷與pH計算,酸鹼滴定-2,2455
122,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,0,章節總複習,章節所有知識點,水溶液中的酸、鹼、鹽平衡反應 （全）-1,2456
123,12,選修三,2,水溶液中的酸、鹼、鹽平衡反應,0,章節總複習,章節所有知識點,水溶液中的酸、鹼、鹽平衡反應 （全）-2,2457
124,12,選修五,1,有機化合物,1,有機化合物的組成與命名,烴類分類與性質、有機化合物命名、同分異構物,有機化合物的組成與命名-1,2458
125,12,選修五,1,有機化合物,1,有機化合物的組成與命名,燃燒分析與分子式/實驗式計算、有機與無機化合物區辨、有機化合物結構與鍵結,有機化合物的組成與命名-2,2459
126,12,選修五,1,有機化合物,2,不飽和烴,烴類分類、同分異構物、烴類命名,不飽和烴-1,2460
127,12,選修五,1,有機化合物,2,不飽和烴,分子結構與鍵結、烴類物理化學性質、分子式與不飽和度,不飽和烴-2,2461
128,12,選修五,1,有機化合物,3,常見有機化合物的種類,有機化合物命名與分類、有機化合物物理化學性質,常見有機化合物的種類-1,2462
129,12,選修五,1,有機化合物,3,常見有機化合物的種類,異構物與分子結構、有機物應用與危害,常見有機化合物的種類-2,2463
130,12,選修五,1,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-1,2464
131,12,選修五,1,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-2,2465
132,12,選修五,2,有機化合物的製備、反應與用途,1,碳氫化合物,烴類分類與通性、烴類化學反應、異構現象,碳氫化合物-1,2466
133,12,選修五,2,有機化合物的製備、反應與用途,1,碳氫化合物,烴類鑑別、石化工業與應用,碳氫化合物-2,2467
134,12,選修五,2,有機化合物的製備、反應與用途,2,有機鹵化物,有機鹵化物、鹵化物的化學反應與製備,有機鹵化物-1,2468
135,12,選修五,2,有機化合物的製備、反應與用途,2,有機鹵化物,鹵化物的應用與環境影響、鹵化物的物理性質,有機鹵化物-2,2469
136,12,選修五,2,有機化合物的製備、反應與用途,3,醇、酚、醚,醇、酚、醚性質,醇、酚、醚-1,2470
137,12,選修五,2,有機化合物的製備、反應與用途,3,醇、酚、醚,醇類氧化反應、醇類製備與脫水反應、有機物異構現象,醇、酚、醚-2,2471
138,12,選修五,2,有機化合物的製備、反應與用途,3,醇、酚、醚,有機物化學鑑定、有機反應定量計算,醇、酚、醚-3,2472
139,12,選修五,2,有機化合物的製備、反應與用途,4,醛與酮,醛類、酮類、氧化還原反應,醛與酮-1,2473
140,12,選修五,2,有機化合物的製備、反應與用途,4,醛與酮,醛酮檢驗試劑、官能基、同分異構物,醛與酮-2,2474
141,12,選修五,2,有機化合物的製備、反應與用途,5,酸與酯,酯類、油脂與脂肪酸、羧酸,酸與酯-1,2475
142,12,選修五,2,有機化合物的製備、反應與用途,5,酸與酯,醇類、有機氧化還原反應、有機化合物性質與鑑定,酸與酯-2,2476
143,12,選修五,2,有機化合物的製備、反應與用途,6,胺與醯胺,胺類化學、有機酸與酯化反應、有機化合物物理性質比較,胺與醯胺-1,2477
144,12,選修五,2,有機化合物的製備、反應與用途,6,胺與醯胺,有機反應類型、有機化合物酸鹼性,胺與醯胺-2,2478
145,12,選修五,2,有機化合物的製備、反應與用途,0,章節總複習,章節所有知識點,有機化合物的製備、反應與用途 （全）-1,2479
146,12,選修五,2,有機化合物的製備、反應與用途,0,章節總複習,章節所有知識點,有機化合物的製備、反應與用途 （全）-2,2480
147,12,選修五,3,聚合物,1,常見聚合物的分類與性質,聚合物性質、單體、加成聚合反應,常見聚合物的分類與性質-1,2481
148,12,選修五,3,聚合物,1,常見聚合物的分類與性質,縮合聚合反應、聚合物分類、聚合度與分子量,常見聚合物的分類與性質-2,2482
149,12,選修五,3,聚合物,2,常見聚合物的結構與製備,醣類、蛋白質、核酸,常見聚合物的結構與製備-1,2483
150,12,選修五,3,聚合物,2,常見聚合物的結構與製備,聚合物與聚合反應、塑膠與橡膠性質,常見聚合物的結構與製備-2,2484
151,12,選修五,3,聚合物,3,化學與生活,聚合物種類、聚合反應與單體,化學與生活-1,2485
152,12,選修五,3,聚合物,3,化學與生活,聚合物特性與應用、環境衝擊與永續發展,化學與生活-2,2486
153,12,選修五,3,聚合物,0,章節總複習,章節所有知識點,聚合物 （全）-1,2487
154,12,選修五,3,聚合物,0,章節總複習,章節所有知識點,聚合物 （全）-2,2488
155,12,選修四,1,氧化與還原反應,1,氧化數及其應用,氧化數、氧化還原反應判斷,氧化數及其應用-1,2489
156,12,選修四,1,氧化與還原反應,1,氧化數及其應用,氧化劑與還原劑、氧化還原反應平衡,氧化數及其應用-2,2490
157,12,選修四,1,氧化與還原反應,2,氧化還原滴定,滴定儀器、氧化還原滴定原理、氧化劑與還原劑種類,氧化還原滴定-1,2491
158,12,選修四,1,氧化與還原反應,2,氧化還原滴定,滴定定量計算、滴定實驗條件、溶液標定,氧化還原滴定-2,2492
159,12,選修四,1,氧化與還原反應,3,電化電池,氧化還原反應、電化電池構造、標準電極電位,電化電池-1,2493
160,12,選修四,1,氧化與還原反應,3,電化電池,化學電池類型、影響電池電位的因素、電化學應用,電化電池-2,2494
161,12,選修四,1,氧化與還原反應,4,電解與電鍍,電解概念與產物、電解定量計算、電鍍與電解精煉,電解與電鍍-1,2495
162,12,選修四,1,氧化與還原反應,4,電解與電鍍,金屬腐蝕與陰極保護、電解工業應用,電解與電鍍-2,2496
163,12,選修四,1,氧化與還原反應,0,章節總複習,章節所有知識點,氧化與還原反應 （全）-1,2497
164,12,選修四,1,氧化與還原反應,0,章節總複習,章節所有知識點,氧化與還原反應 （全）-2,2498
165,12,選修四,2,生活中常見的物質及其應用,1,非金屬元素,氫及其化合物、氮及其化合物、氧及其化合物,非金屬元素-1,2499
166,12,選修四,2,生活中常見的物質及其應用,1,非金屬元素,碳及其化合物、矽及其化合物,非金屬元素-2,2500
167,12,選修四,2,生活中常見的物質及其應用,2,主族金屬元素,鹼金屬性質、鹼土金屬性質、鋁性質,主族金屬元素-1,2501
168,12,選修四,2,生活中常見的物質及其應用,2,主族金屬元素,金屬製備、鈉化合物,主族金屬元素-2,2502
169,12,選修四,2,生活中常見的物質及其應用,2,主族金屬元素,鎂化合物、鋁化合物,主族金屬元素-3,2503
170,12,選修四,2,生活中常見的物質及其應用,3,過渡金屬元素,配位化合物、過渡元素性質、金屬冶煉與合金,過渡金屬元素-1,2504
171,12,選修四,2,生活中常見的物質及其應用,3,過渡金屬元素,金屬腐蝕與防護、生物錯合物,過渡金屬元素-2,2505
172,12,選修四,2,生活中常見的物質及其應用,4,先進材料,半導體、導電性質、奈米科技,先進材料-1,2506
173,12,選修四,2,生活中常見的物質及其應用,4,先進材料,奈米材料、碳同素異形體,先進材料-2,2507
174,12,選修四,2,生活中常見的物質及其應用,4,先進材料,液晶顯示器、長度單位換算,先進材料-3,2508
175,12,選修四,2,生活中常見的物質及其應用,0,章節總複習,章節所有知識點,生活中常見的物質及其應用 （全）-1,2509
176,12,選修四,2,生活中常見的物質及其應用,0,章節總複習,章節所有知識點,生活中常見的物質及其應用 （全）-2,2510
