關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
43,7,第二冊,2,"臺灣的人口組成與族群文
化",0,章節總複習,章節所有知識點,"臺灣的人口組成與族群文
化 （全）-2",852
44,7,第二冊,3,臺灣的農業,1,臺灣的第一級產業活動有哪些 特色？,農業生產多樣化、農業科技應用加速,臺灣的第一級產業活動有哪些 特色？,853
45,7,第二冊,3,臺灣的農業,2,臺灣農業有哪些挑戰與對策？,糧食自給率下降、氣候變遷對農業影響,臺灣農業有哪些挑戰與對策？,854
46,7,第二冊,3,臺灣的農業,0,章節總複習,章節所有知識點,臺灣的農業 （全）-1,855
47,7,第二冊,3,臺灣的農業,0,章節總複習,章節所有知識點,臺灣的農業 （全）-2,856
48,7,第二冊,4,"臺灣的工業發展與國際貿
易",1,如何選擇工廠的位置？,地理區位選擇、多角化經營,如何選擇工廠的位置？,857
49,7,第二冊,4,"臺灣的工業發展與國際貿
易",2,臺灣的工業發展有何特色？,加工出口區、技術創新,臺灣的工業發展有何特色？,858
50,7,第二冊,4,"臺灣的工業發展與國際貿
易",3,臺灣的國際貿易有何特色？,出口導向、自由貿易,臺灣的國際貿易有何特色？,859
51,7,第二冊,4,"臺灣的工業發展與國際貿
易",0,章節總複習,章節所有知識點,"臺灣的工業發展與國際貿
易 （全）-1",860
52,7,第二冊,4,"臺灣的工業發展與國際貿
易",0,章節總複習,章節所有知識點,"臺灣的工業發展與國際貿
易 （全）-2",861
53,7,第二冊,5,臺灣的聚落與交通,1,聚落體系是如何發展的？,聚落發展的因素、多樣性的聚落形式,聚落體系是如何發展的？,862
54,7,第二冊,5,臺灣的聚落與交通,2,聚落發展與交通網絡有何關聯？,聚落選址、交通便利性,聚落發展與交通網絡有何關聯？,863
55,7,第二冊,5,臺灣的聚落與交通,3,臺灣的都市發展有何特色？,都市化過程、交通網絡建設,臺灣的都市發展有何特色？,864
56,7,第二冊,5,臺灣的聚落與交通,0,章節總複習,章節所有知識點,臺灣的聚落與交通 （全）-1,865
57,7,第二冊,5,臺灣的聚落與交通,0,章節總複習,章節所有知識點,臺灣的聚落與交通 （全）-2,866
58,7,第二冊,6,"臺灣的區域發展及空間差
異",1,臺灣的區域發展有何差異？,區域發展差異、經濟活動類型,臺灣的區域發展有何差異？,867
59,7,第二冊,6,"臺灣的區域發展及空間差
異",2,臺灣各區域應該如何適性規劃？,區域特性、政策規劃,臺灣各區域應該如何適性規劃？,868
60,7,第二冊,6,"臺灣的區域發展及空間差
異",0,章節總複習,章節所有知識點,"臺灣的區域發展及空間差
異 （全）-1",869
61,7,第二冊,6,"臺灣的區域發展及空間差
異",0,章節總複習,章節所有知識點,"臺灣的區域發展及空間差
異 （全）-2",870
62,8,第三冊,1,中國的自然環境與傳統維生方式,1,中國的自然環境有何特徵？,地形多樣、氣候多變,中國的自然環境有何特徵？,871
63,8,第三冊,1,中國的自然環境與傳統維生方式,2,傳統中國的維生方式有何特徵？,農業社會、因地制宜,傳統中國的維生方式有何特徵？,872
64,8,第四冊,1,中國的自然環境與傳統維生方式,1,中國的自然環境有何特徵？,氣候多樣、地形複雜,中國的自然環境有何特徵？,873
65,8,第四冊,1,中國的自然環境與傳統維生方式,2,傳統中國的維生方式有何特徵？,農業是主要維生方式、地理環境影響生活,傳統中國的維生方式有何特徵？,874
66,8,第三冊,1,中國的自然環境與傳統維生方式,0,章節總複習,章節所有知識點,中國的自然環境與傳統維生方式 （全）-1,875
67,8,第三冊,1,中國的自然環境與傳統維生方式,0,章節總複習,章節所有知識點,中國的自然環境與傳統維生方式 （全）-2,876
68,8,第三冊,2,中國的人口成長與文化遷移,1,中國如何養活眾多的人口？,糧食安全、可持續農業,中國如何養活眾多的人口？,877
69,8,第三冊,2,中國的人口成長與文化遷移,2,中國的人口有哪些特徵？,人口數量龐大、人口密度不均,中國的人口有哪些特徵？,878
70,8,第三冊,2,中國的人口成長與文化遷移,3,中國如何因應人口大量增加的壓力？,計劃生育政策、城市化發展,中國如何因應人口大量增加的壓力？,879
71,8,第四冊,2,中國的人口成長與文化遷移,1,中國如何養活眾多的人口？,人口密度高、集約農業,中國如何養活眾多的人口？,880
72,8,第四冊,2,中國的人口成長與文化遷移,2,中國的人口有哪些特徵？,人口增長率、人口密度,中國的人口有哪些特徵？,881
73,8,第四冊,2,中國的人口成長與文化遷移,3,中國如何因應人口大量增加的壓力？,人口政策、城鎮化發展,中國如何因應人口大量增加的壓力？,882
74,8,第三冊,2,中國的人口成長與文化遷移,0,章節總複習,章節所有知識點,中國的人口成長與文化遷移 （全）-1,883
75,8,第三冊,2,中國的人口成長與文化遷移,0,章節總複習,章節所有知識點,中國的人口成長與文化遷移 （全）-2,884
76,8,第三冊,3,中國的工業發展與地區差異,1,中國工業發展的條件為何？,資源分佈、科技進步,中國工業發展的條件為何？,885
77,8,第三冊,3,中國的工業發展與地區差異,2,中國的經濟核心在哪裡？,經濟核心區位、經濟發展不平衡,中國的經濟核心在哪裡？,886
78,8,第四冊,3,中國的工業發展與地區差異,1,中國工業發展的條件為何？,自然資源豐富、勞動力資源充足,中國工業發展的條件為何？,887
79,8,第四冊,3,中國的工業發展與地區差異,2,中國的經濟核心在哪裡？,經濟核心區域、經濟不平衡發展,中國的經濟核心在哪裡？,888
80,8,第三冊,3,中國的工業發展與地區差異,0,章節總複習,章節所有知識點,中國的工業發展與地區差異 （全）-1,889
81,8,第三冊,3,中國的工業發展與地區差異,0,章節總複習,章節所有知識點,中國的工業發展與地區差異 （全）-2,890
82,8,第三冊,4,中國的經濟發展與全球關連,1,中國如何從世界工廠變成世界市場？,中國經濟改革與開放、內需市場崛起,中國如何從世界工廠變成世界市場？,891
83,8,第三冊,4,中國的經濟發展與全球關連,2,中國與全球有什麼關連？,中國經濟的全球影響力、國際貿易與投資,中國與全球有什麼關連？,892
84,8,第四冊,4,中國的經濟發展與全球關連,1,中國如何從世界工廠變成世界市場？,出口導向型經濟、中國製造2025,中國如何從世界工廠變成世界市場？,893
85,8,第四冊,4,中國的經濟發展與全球關連,2,中國與全球有什麼關連？,國際貿易、外商投資,中國與全球有什麼關連？,894
86,8,第三冊,4,中國的經濟發展與全球關連,0,章節總複習,章節所有知識點,中國的經濟發展與全球關連 （全）-1,895
87,8,第三冊,4,中國的經濟發展與全球關連,0,章節總複習,章節所有知識點,中國的經濟發展與全球關連 （全）-2,896
88,8,第三冊,5,東北亞的自然環境,1,東北亞的自然環境有何特色？,氣候多樣、生物資源豐富,東北亞的自然環境有何特色？,897
89,8,第三冊,5,東北亞的自然環境,2,環境如何影響日、韓的文化特色？,海洋性氣候、地理隔離,環境如何影響日、韓的文化特色？,898
90,8,第四冊,5,東北亞的自然環境,1,東北亞的自然環境有何特色？,氣候特徵、地形結構,東北亞的自然環境有何特色？,899
91,8,第四冊,5,東北亞的自然環境,2,環境如何影響日、韓的文化特色？,地理特徵、多雨氣候,環境如何影響日、韓的文化特色？,900
92,8,第三冊,5,東北亞的自然環境,0,章節總複習,章節所有知識點,東北亞的自然環境 （全）-1,901
93,8,第三冊,5,東北亞的自然環境,0,章節總複習,章節所有知識點,東北亞的自然環境 （全）-2,902
94,8,第三冊,6,東北亞的經濟發展,1,日本的產業發展有何特色？,科技創新、產業結構轉型,日本的產業發展有何特色？,903
95,8,第三冊,6,東北亞的經濟發展,2,朝鮮半島的產業發展有何特色？,重工業發展、自然資源利用,朝鮮半島的產業發展有何特色？,904
96,8,第四冊,6,東北亞的經濟發展,1,日本的產業發展有何特色？,先進技術應用、生產及供應鏈優化,日本的產業發展有何特色？,905
97,8,第四冊,6,東北亞的經濟發展,2,朝鮮半島的產業發展有何特色？,輕工業發展、國有企業的主導地位,朝鮮半島的產業發展有何特色？,906
98,8,第三冊,6,東北亞的經濟發展,0,章節總複習,章節所有知識點,東北亞的經濟發展 （全）-1,907
99,8,第三冊,6,東北亞的經濟發展,0,章節總複習,章節所有知識點,東北亞的經濟發展 （全）-2,908
