關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
20,8,1,2,養分,4,動物如何獲得養分,消化系統器官、消化液與酵素,動物如何獲得養分-1,1692
21,8,1,2,養分,4,動物如何獲得養分,養分分解與吸收、物質代謝,動物如何獲得養分-2,1693
22,8,1,2,養分,0,章節總複習,章節所有知識點,養分 （全）-1,1694
23,8,1,2,養分,0,章節總複習,章節所有知識點,養分 （全）-2,1695
24,8,1,3,生物的運輸與防禦,1,植物的運輸構造,維管束、木質部、韌皮部,植物的運輸構造-1,1696
25,8,1,3,生物的運輸與防禦,1,植物的運輸構造,形成層、年輪,植物的運輸構造-2,1697
26,8,1,3,生物的運輸與防禦,2,植物體內物質的運輸,植物體內物質運輸、蒸散作用,植物體內物質的運輸-1,1698
27,8,1,3,生物的運輸與防禦,2,植物體內物質的運輸,光合作用、根部功能,植物體內物質的運輸-2,1699
28,8,1,3,生物的運輸與防禦,3,人體內物質的運輸,循環系統、心臟構造與功能、血管種類與特性,人體內物質的運輸-1,1700
29,8,1,3,生物的運輸與防禦,3,人體內物質的運輸,血液組成與功能、物質交換、淋巴系統,人體內物質的運輸-2,1701
30,8,1,3,生物的運輸與防禦,4,人體的防禦作用,非專一性防禦、專一性防禦、疫苗原理,人體的防禦作用,1702
31,8,1,3,生物的運輸與防禦,0,章節總複習,章節所有知識點,生物的運輸與防禦 （全）-1,1703
32,8,1,3,生物的運輸與防禦,0,章節總複習,章節所有知識點,生物的運輸與防禦 （全）-2,1704
33,8,1,4,生物的協調作用,1,神經系統,神經系統組成、中樞神經功能分區、神經傳導途徑,神經系統-1,1705
34,8,1,4,生物的協調作用,1,神經系統,反射與意識行為、感覺與視覺現象,神經系統-2,1706
35,8,1,4,生物的協調作用,2,內分泌系統,神經系統、內分泌系統、激素,內分泌系統-1,1707
36,8,1,4,生物的協調作用,2,內分泌系統,內分泌腺體、血糖濃度調節,內分泌系統-2,1708
37,8,1,4,生物的協調作用,2,內分泌系統,生長發育與代謝、第二性徵,內分泌系統-3,1709
38,8,1,4,生物的協調作用,3,生物的感應,動物行為類型、神經與內分泌系統、動物趨性,生物的感應-1,1710
39,8,1,4,生物的協調作用,3,生物的感應,植物向性、植物感應運動、植物光週期,生物的感應-2,1711
40,8,1,4,生物的協調作用,0,章節總複習,章節所有知識點,生物的協調作用 （全）-1,1712
41,8,1,4,生物的協調作用,0,章節總複習,章節所有知識點,生物的協調作用 （全）-2,1713
42,8,1,5,生物的恆定性,1,恆定性與體溫的恆定,恆定性、體溫調節,恆定性與體溫的恆定-1,1714
43,8,1,5,生物的恆定性,1,恆定性與體溫的恆定,內外溫動物、物質恆定與器官系統,恆定性與體溫的恆定-2,1715
44,8,1,5,生物的恆定性,2,呼吸與氣體的恆定,呼吸作用、呼吸運動、呼吸系統與器官,呼吸與氣體的恆定-1,1716
45,8,1,5,生物的恆定性,2,呼吸與氣體的恆定,呼吸調節、氣體交換、呼出氣體成分,呼吸與氣體的恆定-2,1717
46,8,1,5,生物的恆定性,3,血糖的恆定,血糖恆定、血糖調節激素,血糖的恆定-1,1718
47,8,1,5,生物的恆定性,3,血糖的恆定,血糖與肝糖代謝、胰臟功能,血糖的恆定-2,1719
48,8,1,5,生物的恆定性,4,排泄作用與水分的恆定,排泄作用與代謝廢物、泌尿系統構造與功能,排泄作用與水分的恆定-1,1720
49,8,1,5,生物的恆定性,4,排泄作用與水分的恆定,含氮廢物種類與代謝、水分恆定與散失防禦,排泄作用與水分的恆定-2,1721
50,8,1,5,生物的恆定性,0,章節總複習,章節所有知識點,生物的恆定性 （全）-1,1722
51,8,1,5,生物的恆定性,0,章節總複習,章節所有知識點,生物的恆定性 （全）-2,1723
52,8,2,1,生殖,1,細胞的分裂,細胞分裂、減數分裂、染色體,細胞的分裂-1,1724
53,8,2,1,生殖,1,細胞的分裂,染色體套數、配子、子細胞,細胞的分裂-2,1725
54,8,2,1,生殖,2,無性生殖,生殖方式、無性生殖,無性生殖-1,1726
55,8,2,1,生殖,2,無性生殖,植物營養繁殖、遺傳變異,無性生殖-2,1727
56,8,2,1,生殖,3,有性生殖,有性生殖、無性生殖、植物生殖系統,有性生殖-1,1728
57,8,2,1,生殖,3,有性生殖,動物生殖系統、受精與發育,有性生殖-2,1729
58,8,2,1,生殖,0,章節總複習,章節所有知識點,生殖 （全）-1,1730
59,8,2,1,生殖,0,章節總複習,章節所有知識點,生殖 （全）-2,1731
60,8,2,2,遺傳,1,解開遺傳的奧祕,性狀、等位基因、顯性與隱性,解開遺傳的奧祕-1,1732
61,8,2,2,遺傳,1,解開遺傳的奧祕,基因型與表現型、孟德爾遺傳法則、染色體,解開遺傳的奧祕-2,1733
62,8,2,2,遺傳,2,人類的遺傳,血型遺傳、性染色體、性別決定方式,人類的遺傳,1734
63,8,2,2,遺傳,3,突變,遺傳、基因突變,突變-1,1735
64,8,2,2,遺傳,3,突變,遺傳疾病、近親結婚,突變-2,1736
65,8,2,2,遺傳,4,生物技術的應用,生物技術、基因轉殖、生物複製,生物技術的應用-1,1737
66,8,2,2,遺傳,4,生物技術的應用,遺傳物質、基因改造生物,生物技術的應用-2,1738
67,8,2,2,遺傳,0,章節總複習,章節所有知識點,遺傳 （全）-1,1739
68,8,2,2,遺傳,0,章節總複習,章節所有知識點,遺傳 （全）-2,1740
69,8,2,3,地球上的生物,1,持續改變的生命,生物演化、化石定義與形成,持續改變的生命-1,1741
70,8,2,3,地球上的生物,1,持續改變的生命,化石應用、地層與化石年代,持續改變的生命-2,1742
71,8,2,3,地球上的生物,2,生物的命名與分類,病毒特性、生物分類階層、生物學名,生物的命名與分類-1,1743
72,8,2,3,地球上的生物,2,生物的命名與分類,種的定義、親緣關係判斷,生物的命名與分類-2,1744
73,8,2,3,地球上的生物,3,原核生物與原生生物,生物界分類、原核生物特性、原生生物特性,原核生物與原生生物-1,1745
74,8,2,3,地球上的生物,3,原核生物與原生生物,藻類特性、病毒特性,原核生物與原生生物-2,1746
75,8,2,3,地球上的生物,4,真菌界,真菌界、真菌細胞構造、真菌營養代謝,真菌界-1,1747
76,8,2,3,地球上的生物,4,真菌界,真菌繁殖、真菌應用危害,真菌界-2,1748
77,8,2,3,地球上的生物,5,植物界,植物分類、維管束,植物界-1,1749
78,8,2,3,地球上的生物,5,植物界,生殖構造、單雙子葉植物特徵,植物界-2,1750
79,8,2,3,地球上的生物,6,動物界,動物分類、動物構造與功能、生殖與發育,動物界-1,1751
80,8,2,3,地球上的生物,6,動物界,體溫調節、生物演化與親緣關係,動物界-2,1752
81,8,2,3,地球上的生物,0,章節總複習,章節所有知識點,地球上的生物 （全）-1,1753
82,8,2,3,地球上的生物,0,章節總複習,章節所有知識點,地球上的生物 （全）-2,1754
83,8,2,4,生態系,1,生物生存的環境,族群、族群數量估計、族群動態,生物生存的環境-1,1755
84,8,2,4,生態系,1,生物生存的環境,生物群集、生態系、生物圈,生物生存的環境-2,1756
85,8,2,4,生態系,2,能量的流動與物質的循環,食物網與食物鏈、生態系角色、能量流動,能量的流動與物質的循環-1,1757
86,8,2,4,生態系,2,能量的流動與物質的循環,碳循環、水循環,能量的流動與物質的循環-2,1758
87,8,2,4,生態系,3,生物的交互關係,互利共生、片利共生、寄生,生物的交互關係-1,1759
88,8,2,4,生態系,3,生物的交互關係,捕食、競爭,生物的交互關係-2,1760
89,8,2,4,生態系,3,生物的交互關係,族群數量變化、生物防治,生物的交互關係-3,1761
90,8,2,4,生態系,4,多采多姿的生態系,生態系分類、生物與環境適應,多采多姿的生態系-1,1762
91,8,2,4,生態系,4,多采多姿的生態系,生產者與消費者、生物多樣性,多采多姿的生態系-2,1763
92,8,2,4,生態系,0,章節總複習,章節所有知識點,生態系 （全）-1,1764
93,8,2,4,生態系,0,章節總複習,章節所有知識點,生態系 （全）-2,1765
94,8,2,5,人類與環境,1,生物多樣性的重要性與危機,生物放大作用、生物多樣性、生態系穩定性,生物多樣性的重要性與危機-1,1766
95,8,2,5,人類與環境,1,生物多樣性的重要性與危機,環境汙染、全球氣候變遷,生物多樣性的重要性與危機-2,1767
96,8,2,5,人類與環境,1,生物多樣性的重要性與危機,棲地破壞、外來種入侵,生物多樣性的重要性與危機-3,1768
97,8,2,5,人類與環境,2,維護生物多樣性,生態保育、生態平衡、環境汙染,維護生物多樣性-1,1769
98,8,2,5,人類與環境,2,維護生物多樣性,永續發展、國際公約、棲地保護,維護生物多樣性-2,1770
99,8,2,5,人類與環境,0,章節總複習,章節所有知識點,人類與環境 （全）-1,1771
100,8,2,5,人類與環境,0,章節總複習,章節所有知識點,人類與環境 （全）-2,1772
101,9,3,0,科學方法跟實驗室守則,1,科學方法跟實驗室守則,實驗室安全守則、實驗器材操作與用途、酒精燈使用,科學方法跟實驗室守則-1,1773
102,9,3,0,科學方法跟實驗室守則,1,科學方法跟實驗室守則,化學藥品處理、實驗廢棄物處理,科學方法跟實驗室守則-2,1774
103,9,3,0,科學方法跟實驗室守則,0,章節總複習,章節所有知識點,科學方法跟實驗室守則 （全）-1,1775
104,9,3,0,科學方法跟實驗室守則,0,章節總複習,章節所有知識點,科學方法跟實驗室守則 （全）-2,1776
105,9,3,1,基本測量,1,長度與體積的測量,測量結果的表示、測量工具與操作、體積測量方法,長度與體積的測量-1,1777
106,9,3,1,基本測量,1,長度與體積的測量,測量單位與換算、測量誤差與精確度,長度與體積的測量-2,1778
107,9,3,1,基本測量,2,質量與密度的測量,質量、體積、密度,質量與密度的測量-1,1779
108,9,3,1,基本測量,2,質量與密度的測量,測量工具、測量操作、物質密度特性,質量與密度的測量-2,1780
109,9,3,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-1,1781
110,9,3,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-2,1782
111,9,3,2,物質的世界,1,認識物質,純物質與混合物、物質分離方法、物理化學性質,認識物質-1,1783
112,9,3,2,物質的世界,1,認識物質,物理化學變化、物質三態,認識物質-2,1784
113,9,3,2,物質的世界,2,水溶液,溶液組成、濃度計算,水溶液-1,1785
114,9,3,2,物質的世界,2,水溶液,溶解度與飽和溶液、擴散作用,水溶液-2,1786
115,9,3,2,物質的世界,3,空氣的組成,空氣組成、氣體性質、氧氣製備與檢驗,空氣的組成-1,1787
116,9,3,2,物質的世界,3,空氣的組成,二氧化碳製備與檢驗、氣體收集法、鈍氣,空氣的組成-2,1788
117,9,3,2,物質的世界,0,章節總複習,章節所有知識點,物質的世界 （全）-1,1789
118,9,3,2,物質的世界,0,章節總複習,章節所有知識點,物質的世界 （全）-2,1790
119,9,3,3,波動與聲音,1,波的傳播,波的分類、波的傳播特性、波的要素計算,波的傳播,1791
120,9,3,3,波動與聲音,2,聲波的產生與傳播,聲音產生、聲音傳播,聲波的產生與傳播-1,1792
121,9,3,3,波動與聲音,2,聲波的產生與傳播,聲波種類、聲音性質,聲波的產生與傳播-2,1793
122,9,3,3,波動與聲音,3,聲波的反射與超聲波,聲波的反射與回聲、超聲波的應用,聲波的反射與超聲波-1,1794
123,9,3,3,波動與聲音,3,聲波的反射與超聲波,聽覺頻率範圍、聲速與距離測量,聲波的反射與超聲波-2,1795
124,9,3,3,波動與聲音,4,多變的聲音,振源、音調、響度,多變的聲音-1,1796
125,9,3,3,波動與聲音,4,多變的聲音,音色、聲速,多變的聲音-2,1797
126,9,3,3,波動與聲音,0,章節總複習,章節所有知識點,波動與聲音 （全）-1,1798
127,9,3,3,波動與聲音,0,章節總複習,章節所有知識點,波動與聲音 （全）-2,1799
128,9,3,4,光,1,光的傳播與光速,光的直進性、針孔成像、光速,光的傳播與光速-1,1800
129,9,3,4,光,1,光的傳播與光速,光介質傳播、聲波傳播,光的傳播與光速-2,1801
130,9,3,4,光,2,光的反射與面鏡,光的反射定律、平面鏡成像,光的反射與面鏡-1,1802
131,9,3,4,光,2,光的反射與面鏡,凹面鏡、凸面鏡,光的反射與面鏡-2,1803
132,9,3,4,光,3,光的折射與透鏡,光的折射、透鏡,光的折射與透鏡-1,1804
133,9,3,4,光,3,光的折射與透鏡,成像性質、光的反射,光的折射與透鏡-2,1805
134,9,3,4,光,4,光學儀器,透鏡光學性質、透鏡成像,光學儀器-1,1806
135,9,3,4,光,4,光學儀器,光學儀器、眼睛與視覺矯正,光學儀器-2,1807
136,9,3,4,光,5,色光與顏色,光的色散、光的三原色,色光與顏色-1,1808
137,9,3,4,光,5,色光與顏色,物體顯色原理、濾光片,色光與顏色-2,1809
138,9,3,4,光,0,章節總複習,章節所有知識點,光 （全）-1,1810
139,9,3,4,光,0,章節總複習,章節所有知識點,光 （全）-2,1811
140,9,3,5,溫度與熱,1,溫度與溫度計,溫度定義、溫度計原理、溫度計種類與構造,溫度與溫度計-1,1812
141,9,3,5,溫度與熱,1,溫度與溫度計,溫標、溫度測量計算,溫度與溫度計-2,1813
142,9,3,5,溫度與熱,2,熱量與比熱,比熱、熱量、溫度,熱量與比熱-1,1814
143,9,3,5,溫度與熱,2,熱量與比熱,熱傳播、熱平衡,熱量與比熱-2,1815
144,9,3,5,溫度與熱,3,熱對物質的影響,熱脹冷縮、水的特殊熱性質、物質三態變化,熱對物質的影響-1,1816
145,9,3,5,溫度與熱,3,熱對物質的影響,比熱、吸放熱、物理化學變化,熱對物質的影響-2,1817
146,9,3,5,溫度與熱,4,熱的傳播方式,熱傳導、熱對流、熱輻射,熱的傳播方式-1,1818
147,9,3,5,溫度與熱,4,熱的傳播方式,導熱特性、顏色與熱吸收、保溫隔熱,熱的傳播方式-2,1819
148,9,3,5,溫度與熱,0,章節總複習,章節所有知識點,溫度與熱 （全）-1,1820
149,9,3,5,溫度與熱,0,章節總複習,章節所有知識點,溫度與熱 （全）-2,1821
150,9,3,6,探索物質組成,1,元素的探索,金屬與非金屬性質、元素定義與分類、元素命名與符號,元素的探索-1,1822
151,9,3,6,探索物質組成,1,元素的探索,碳的同素異形體、特定元素性質,元素的探索-2,1823
152,9,3,6,探索物質組成,2,元素週期表,週期表結構、元素資訊、週期表發展,元素週期表-1,1824
153,9,3,6,探索物質組成,2,元素週期表,元素性質分類、金屬活性、鹼金屬特性,元素週期表-2,1825
154,9,3,6,探索物質組成,3,化合物與原子概念的發展,道耳頓原子說、原子模型、原子結構,化合物與原子概念的發展-1,1826
155,9,3,6,探索物質組成,3,化合物與原子概念的發展,基本粒子、原子序與質量數、元素與化合物,化合物與原子概念的發展-2,1827
156,9,3,6,探索物質組成,4,分子與化學式,物質分類、原子與分子概念,分子與化學式-1,1828
157,9,3,6,探索物質組成,4,分子與化學式,化學式與分子模型、物質性質判斷,分子與化學式-2,1829
158,9,3,6,探索物質組成,0,章節總複習,章節所有知識點,探索物質組成 （全）-1,1830
159,9,3,6,探索物質組成,0,章節總複習,章節所有知識點,探索物質組成 （全）-2,1831
160,9,4,1,化學反應,1,質量守恆,質量守恆定律、化學反應現象,質量守恆-1,1832
161,9,4,1,化學反應,1,質量守恆,實驗系統、反應物生成物質量,質量守恆-2,1833
162,9,4,1,化學反應,2,化學反應的微觀世界,原子量與分子量、莫耳、化學反應式平衡,化學反應的微觀世界-1,1834
163,9,4,1,化學反應,2,化學反應的微觀世界,分子式與組成、質量守恆定律,化學反應的微觀世界-2,1835
164,9,4,1,化學反應,0,章節總複習,章節所有知識點,化學反應 （全）-1,1836
165,9,4,1,化學反應,0,章節總複習,章節所有知識點,化學反應 （全）-2,1837
166,9,4,2,氧化與還原,1,氧化反應,氧化反應、金屬對氧活性,氧化反應-1,1838
167,9,4,2,氧化與還原,1,氧化反應,氧化物性質、物質燃燒特性,氧化反應-2,1839
168,9,4,2,氧化與還原,2,氧化與還原反應,氧化還原反應、元素活性、活性順序判斷與反應預測,氧化與還原反應-1,1840
169,9,4,2,氧化與還原,2,氧化與還原反應,金屬冶煉、生活中的氧化還原現象,氧化與還原反應-2,1841
170,9,4,2,氧化與還原,0,章節總複習,章節所有知識點,氧化與還原 （全）-1,1842
171,9,4,2,氧化與還原,0,章節總複習,章節所有知識點,氧化與還原 （全）-2,1843
172,9,4,3,電解質及酸鹼反應,1,認識電解質,電解質與非電解質、溶液導電性測試,認識電解質-1,1844
173,9,4,3,電解質及酸鹼反應,1,認識電解質,解離作用與離子特性、電解質水溶液性質,認識電解質-2,1845
174,9,4,3,電解質及酸鹼反應,2,常見的酸、鹼性物質,酸的性質、鹼的性質、酸與金屬反應,常見的酸、鹼性物質-1,1846
175,9,4,3,電解質及酸鹼反應,2,常見的酸、鹼性物質,酸與碳酸鹽反應、酸鹼水溶液導電性、酸鹼安全處理,常見的酸、鹼性物質-2,1847
176,9,4,3,電解質及酸鹼反應,3,酸鹼的濃度,酸鹼指示劑、pH值、酸鹼性質,酸鹼的濃度,1848
177,9,4,3,電解質及酸鹼反應,4,酸鹼中和,酸鹼中和、pH值與指示劑、鹽類,酸鹼中和,1849
178,9,4,3,電解質及酸鹼反應,0,章節總複習,章節所有知識點,電解質及酸鹼反應 （全）-1,1850
179,9,4,3,電解質及酸鹼反應,0,章節總複習,章節所有知識點,電解質及酸鹼反應 （全）-2,1851
180,9,4,4,反應速率與平衡,1,反應速率,反應速率、影響反應速率的因素,反應速率-1,1852
181,9,4,4,反應速率與平衡,1,反應速率,催化劑、反應物活性,反應速率-2,1853
182,9,4,4,反應速率與平衡,2,可逆反應與平衡,動態平衡、可逆反應、反應速率,可逆反應與平衡-1,1854
183,9,4,4,反應速率與平衡,2,可逆反應與平衡,勒沙特列原理、飽和溶液、密閉系統,可逆反應與平衡-2,1855
184,9,4,4,反應速率與平衡,0,章節總複習,章節所有知識點,反應速率與平衡 （全）-1,1856
185,9,4,4,反應速率與平衡,0,章節總複習,章節所有知識點,反應速率與平衡 （全）-2,1857
186,9,4,5,有機化合物,1,認識有機化合物,有機化合物定義與特性、有機化合物分類與辨識、有機化合物燃燒與檢測,認識有機化合物,1858
187,9,4,5,有機化合物,2,常見的有機化合物,有機化合物基本概念、烴類、醇類,常見的有機化合物-1,1859
188,9,4,5,有機化合物,2,常見的有機化合物,有機酸、酯類,常見的有機化合物-2,1860
189,9,4,5,有機化合物,2,常見的有機化合物,酯化反應、石化燃料,常見的有機化合物-3,1861
190,9,4,5,有機化合物,3,肥皂與清潔劑,皂化反應、肥皂製造輔助物質,肥皂與清潔劑-1,1862
191,9,4,5,有機化合物,3,肥皂與清潔劑,肥皂特性、清潔劑分類,肥皂與清潔劑-2,1863
192,9,4,5,有機化合物,4,生活中的有機聚合物,聚合物、熱塑性與熱固性聚合物、天然與合成聚合物,生活中的有機聚合物-1,1864
193,9,4,5,有機化合物,4,生活中的有機聚合物,纖維、生物聚合物,生活中的有機聚合物-2,1865
194,9,4,5,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-1,1866
195,9,4,5,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-2,1867
196,9,4,6,力與壓力,1,力與平衡,力的分類、力的效應、力的三要素,力與平衡-1,1868
197,9,4,6,力與壓力,1,力與平衡,力的單位、合力與力的平衡,力與平衡-2,1869
198,9,4,6,力與壓力,1,力與平衡,彈簧測力原理、重力與重量,力與平衡-3,1870
199,9,4,6,力與壓力,2,摩擦力,摩擦力種類、摩擦力大小、摩擦力影響因素,摩擦力-1,1871
200,9,4,6,力與壓力,2,摩擦力,摩擦力應用、摩擦力實驗,摩擦力-2,1872
201,9,4,6,力與壓力,3,壓力,壓力、液體壓力,壓力-1,1873
202,9,4,6,力與壓力,3,壓力,大氣壓力、壓力單位,壓力-2,1874
203,9,4,6,力與壓力,4,浮力,浮力、阿基米德原理,浮力-1,1875
204,9,4,6,力與壓力,4,浮力,浮沉判斷、密度,浮力-2,1876
205,9,4,6,力與壓力,0,章節總複習,章節所有知識點,力與壓力 （全）-1,1877
206,9,4,6,力與壓力,0,章節總複習,章節所有知識點,力與壓力 （全）-2,1878
207,10,5,1,直線運動,1,時間的測量,時間測量工具與原理、標準時間單位、單擺特性,時間的測量-1,1879
208,10,5,1,直線運動,1,時間的測量,單擺週期影響因素、週期與頻率,時間的測量-2,1880
209,10,5,1,直線運動,2,位移與路徑長,位置與參考點、位移與路徑長,位移與路徑長,1881
210,10,5,1,直線運動,3,速率與速度,物理量定義與分類、運動量計算、等速度運動特性,速率與速度,1882
211,10,5,1,直線運動,4,加速度與等加速度運動,運動學基本物理量、等加速度直線運動,加速度與等加速度運動-1,1883
212,10,5,1,直線運動,4,加速度與等加速度運動,自由落體運動、打點計時器與運動記錄,加速度與等加速度運動-2,1884
213,10,5,1,直線運動,0,章節總複習,章節所有知識點,直線運動 （全）-1,1885
214,10,5,1,直線運動,0,章節總複習,章節所有知識點,直線運動 （全）-2,1886
215,10,5,2,力與運動,1,牛頓第一運動定律,牛頓第一運動定律、慣性,牛頓第一運動定律-1,1887
216,10,5,2,力與運動,1,牛頓第一運動定律,合力、平衡,牛頓第一運動定律-2,1888
217,10,5,2,力與運動,2,牛頓第二運動定律,牛頓第二運動定律、力、質量,牛頓第二運動定律-1,1889
218,10,5,2,力與運動,2,牛頓第二運動定律,加速度、摩擦力、運動狀態,牛頓第二運動定律-2,1890
219,10,5,2,力與運動,3,牛頓第三運動定律,牛頓第三運動定律、作用力與反作用力,牛頓第三運動定律-1,1891
220,10,5,2,力與運動,3,牛頓第三運動定律,力的平衡、牛頓第二運動定律,牛頓第三運動定律-2,1892
221,10,5,2,力與運動,4,圓周運動與萬有引力,質量與重量、萬有引力定律,圓周運動與萬有引力-1,1893
222,10,5,2,力與運動,4,圓周運動與萬有引力,圓周運動與向心力、作用力與反作用力,圓周運動與萬有引力-2,1894
223,10,5,2,力與運動,0,章節總複習,章節所有知識點,力與運動 （全）-1,1895
224,10,5,2,力與運動,0,章節總複習,章節所有知識點,力與運動 （全）-2,1896
225,10,5,3,功與能,1,功與功率,功、功率、能量轉換,功與功率,1897
226,10,5,3,功與能,2,動能、位能與能量守恆,動能、位能,動能、位能與能量守恆-1,1898
227,10,5,3,功與能,2,動能、位能與能量守恆,能量守恆、能量轉換,動能、位能與能量守恆-2,1899
228,10,5,3,功與能,3,槓桿原理與靜力平衡,力矩、靜力平衡、槓桿原理,槓桿原理與靜力平衡-1,1900
229,10,5,3,功與能,3,槓桿原理與靜力平衡,力臂、力與轉動效果,槓桿原理與靜力平衡-2,1901
230,10,5,3,功與能,4,簡單機械,槓桿、滑輪、輪軸,簡單機械-1,1902
231,10,5,3,功與能,4,簡單機械,斜面、螺旋、力矩,簡單機械-2,1903
232,10,5,3,功與能,0,章節總複習,章節所有知識點,功與能 （全）-1,1904
233,10,5,3,功與能,0,章節總複習,章節所有知識點,功與能 （全）-2,1905
234,10,5,4,基本的靜電現象與電路,1,靜電現象,靜電現象、電荷特性、導體與絕緣體,靜電現象-1,1906
235,10,5,4,基本的靜電現象與電路,1,靜電現象,起電方式、靜電力與庫侖定律,靜電現象-2,1907
236,10,5,4,基本的靜電現象與電路,2,電流,電路連接判斷與特性、電流定義與方向,電流-1,1908
237,10,5,4,基本的靜電現象與電路,2,電流,安培計操作、電量與電流計算,電流-2,1909
238,10,5,4,基本的靜電現象與電路,3,電壓,電壓、電流、電池連接方式,電壓-1,1910
239,10,5,4,基本的靜電現象與電路,3,電壓,電路連接方式、電壓測量儀器、燈泡亮度判斷,電壓-2,1911
240,10,5,4,基本的靜電現象與電路,4,電阻與歐姆定律,導體與絕緣體、電阻特性、歐姆定律,電阻與歐姆定律-1,1912
241,10,5,4,基本的靜電現象與電路,4,電阻與歐姆定律,串聯與並聯電路、電路測量與儀器,電阻與歐姆定律-2,1913
242,10,5,4,基本的靜電現象與電路,0,章節總複習,章節所有知識點,基本的靜電現象與電路 （全）-1,1914
243,10,5,4,基本的靜電現象與電路,0,章節總複習,章節所有知識點,基本的靜電現象與電路 （全）-2,1915
244,10,5,5,水與陸地,1,地球上的水,水資源分布、水循環、地下水,地球上的水-1,1916
245,10,5,5,水與陸地,1,地球上的水,海水特性、水資源管理與問題,地球上的水-2,1917
246,10,5,5,水與陸地,2,地貌的改變與平衡,風化作用、侵蝕作用、搬運作用,地貌的改變與平衡-1,1918
247,10,5,5,水與陸地,2,地貌的改變與平衡,沉積作用、地形與地質營力,地貌的改變與平衡-2,1919
248,10,5,5,水與陸地,3,地球上的岩石,礦物性質與鑑定、岩石分類與形成、火成岩特徵,地球上的岩石-1,1920
249,10,5,5,水與陸地,3,地球上的岩石,沉積岩特徵、變質岩特徵、碳酸鹽岩石與酸反應,地球上的岩石-2,1921
250,10,5,5,水與陸地,0,章節總複習,章節所有知識點,水與陸地 （全）-1,1922
251,10,5,5,水與陸地,0,章節總複習,章節所有知識點,水與陸地 （全）-2,1923
252,10,5,6,板塊運動與地球歷史,1,地球構造與板塊運動,地球內部構造、板塊運動,地球構造與板塊運動-1,1924
253,10,5,6,板塊運動與地球歷史,1,地球構造與板塊運動,板塊交界地形、地球探測方法,地球構造與板塊運動-2,1925
254,10,5,6,板塊運動與地球歷史,2,岩層記錄的地球歷史,化石、地殼變動、斷層,岩層記錄的地球歷史-1,1926
255,10,5,6,板塊運動與地球歷史,2,岩層記錄的地球歷史,褶皺、地質時代、地質事件順序,岩層記錄的地球歷史-2,1927
256,10,5,6,板塊運動與地球歷史,3,臺灣的板塊和地震,板塊構造、地質活動,臺灣的板塊和地震-1,1928
257,10,5,6,板塊運動與地球歷史,3,臺灣的板塊和地震,岩石類型與分布、地震概念,臺灣的板塊和地震-2,1929
258,10,5,6,板塊運動與地球歷史,0,章節總複習,章節所有知識點,板塊運動與地球歷史 （全）-1,1930
259,10,5,6,板塊運動與地球歷史,0,章節總複習,章節所有知識點,板塊運動與地球歷史 （全）-2,1931
